"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.045009,0.0072166,0.0075191,0.024964,-1.1016e-05,-2.2368e-05,2.8143e-05,1.2353e-05,-1.2043e-05,0.049947,-0.014987,-0.015016,0.00014634,6.4235e-05,-6.2622e-05,0,0,0,0.024964,-2.6723e-06,-3.0757e-05,0.012497,0.0083101,0.02498,8.0062e-07,0.9,0,0
0.047505,0.0072364,0.0075289,0.024944,-7.9655e-06,-2.2555e-05,2.3086e-05,1.5382e-05,-2.4474e-06,0.049906,-0.014969,-0.015007,0.00012005,7.9986e-05,-1.2726e-05,0,0,0,0.024944,2.3554e-06,-3.2904e-05,0.012489,0.0083045,0.024959,7.9861e-07,0.95,0,0
0.048753,0.0072433,0.0075322,0.024936,-6.9493e-06,-2.2658e-05,2.2447e-05,1.645e-05,3.7155e-06,0.04989,-0.014962,-0.015003,0.00011672,8.5542e-05,1.9321e-05,0,0,0,0.024936,4.0738e-06,-3.3707e-05,0.012485,0.0083022,0.024951,7.9782e-07,1,0,0
0.0016029,0.0010044,0.0011832,0.037579,0.010635,0.010012,0.0060365,-4.0266e-05,0.0066461,0.06277,-0.0072838,-0.008905,0.03139,-0.00020938,0.03456,0,0,0,0.040654,0.010619,0.006953,0.016851,0.019409,0.032053,1.7336e-06,0,0.05,0
0.0031385,0.0018619,0.0021336,0.03391,0.0064267,0.0056874,0.0046357,1.1574e-05,0.004752,0.060551,-0.010905,-0.012827,0.024106,6.0187e-05,0.02471,0,0,0,0.035821,0.0063987,0.0038035,0.016009,0.015341,0.030836,1.5495e-06,0.05,0.05,0
0.0060551,0.0033255,0.0036922,0.028551,0.0016479,0.0010438,0.0024136,0.0001381,0.0019807,0.055488,-0.014461,-0.016032,0.012551,0.00071814,0.0103,0,0,0,0.02902,0.0016414,0.00058157,0.014219,0.010414,0.027935,1.1515e-06,0.1,0.05,0
0.0086873,0.0043617,0.0047294,0.025701,0.00070606,0.00043743,0.0011841,0.0002095,0.00079594,0.050715,-0.014271,-0.014969,0.0061572,0.0010894,0.0041389,0,0,0,0.025819,0.0007803,0.00024475,0.012787,0.008948,0.025312,8.426e-07,0.15,0.05,0
0.011127,0.0050986,0.0054705,0.024022,0.0002164,7.589e-05,0.00055248,0.00019158,0.00034444,0.047868,-0.014026,-0.014391,0.0028729,0.00099624,0.0017911,0,0,0,0.024051,0.00034649,-8.3575e-05,0.012067,0.0081047,0.023923,7.0731e-07,0.2,0.05,0
0.013474,0.0056229,0.006013,0.023302,4.6878e-05,-2.9227e-05,0.00020002,0.00016005,0.00012755,0.046593,-0.01387,-0.014068,0.0010401,0.00083226,0.00066325,0,0,0,0.023308,0.00017796,-0.00016622,0.011737,0.0077732,0.023304,6.5223e-07,0.25,0.05,0
0.015786,0.0059908,0.0064135,0.023079,-2.5712e-05,-6.8428e-05,-6.168e-06,0.00012727,1.4451e-05,0.046214,-0.013858,-0.013969,-3.2074e-05,0.00066183,7.5147e-05,0,0,0,0.02308,8.6544e-05,-0.00018167,0.011631,0.0076615,0.023128,6.3686e-07,0.3,0.05,0
0.018095,0.006242,0.0067082,0.023143,-5.5559e-05,-7.706e-05,-0.00012759,9.6989e-05,-4.7613e-05,0.046365,-0.013951,-0.014007,-0.00066346,0.00050434,-0.00024759,0,0,0,0.023144,3.3746e-05,-0.00016752,0.011656,0.0076701,0.023212,6.4335e-07,0.35,0.05,0
0.020422,0.006407,0.0069232,0.023367,-6.8302e-05,-7.3743e-05,-0.00019304,6.9614e-05,-8.0456e-05,0.04682,-0.014113,-0.014127,-0.0010038,0.00036199,-0.00041837,0,0,0,0.023369,-5.8957e-07,-0.00014363,0.011757,0.0077418,0.023442,6.6241e-07,0.4,0.05,0
0.022777,0.0065106,0.0070785,0.023671,-7.3682e-05,-6.5541e-05,-0.0002176,4.5304e-05,-9.4932e-05,0.047426,-0.014311,-0.014289,-0.0011315,0.00023558,-0.00049365,0,0,0,0.023674,-2.3622e-05,-0.00011835,0.011896,0.0078439,0.023745,6.882e-07,0.45,0.05,0
0.025165,0.0065736,0.0071903,0.023998,-7.5509e-05,-5.5964e-05,-0.00021068,2.4567e-05,-9.7064e-05,0.048074,-0.014516,-0.014465,-0.0010955,0.00012775,-0.00050473,0,0,0,0.024,-3.6846e-05,-9.7254e-05,0.012049,0.0079554,0.024067,7.1643e-07,0.5,0.05,0
0.027585,0.0066129,0.0072713,0.024307,-7.4658e-05,-4.6731e-05,-0.00018015,8.2486e-06,-9.0776e-05,0.048686,-0.014705,-0.014633,-0.00093679,4.2892e-05,-0.00047203,0,0,0,0.024309,-3.9776e-05,-8.3623e-05,0.012196,0.0080618,0.024371,7.4368e-07,0.55,0.05,0
0.030034,0.0066418,0.0073316,0.024571,-7.0854e-05,-3.8702e-05,-0.00013426,-2.8076e-06,-7.9097e-05,0.049207,-0.014861,-0.014777,-0.00069814,-1.46e-05,-0.0004113,0,0,0,0.024572,-3.5127e-05,-7.5664e-05,0.012324,0.0081538,0.024627,7.6732e-07,0.6,0.05,0
0.032506,0.0066694,0.0073785,0.024774,-6.3778e-05,-3.2267e-05,-8.1898e-05,-8.1983e-06,-6.4645e-05,0.049605,-0.014972,-0.014891,-0.00042587,-4.2631e-05,-0.00033615,0,0,0,0.024774,-2.8688e-05,-6.795e-05,0.012421,0.0082259,0.024823,7.8563e-07,0.65,0.05,0
0.034994,0.0067005,0.0074171,0.024911,-5.3721e-05,-2.7554e-05,-3.1864e-05,-8.2667e-06,-4.967e-05,0.049871,-0.015038,-0.01497,-0.00016569,-4.2987e-05,-0.00025828,0,0,0,0.024911,-2.4284e-05,-5.7214e-05,0.012484,0.0082766,0.024952,7.9793e-07,0.7,0.05,0
0.037493,0.0067361,0.0074499,0.024988,-4.1746e-05,-2.4509e-05,8.4617e-06,-4.1391e-06,-3.5897e-05,0.050016,-0.015062,-0.015017,4.4001e-05,-2.1524e-05,-0.00018666,0,0,0,0.024988,-2.2107e-05,-4.4245e-05,0.012516,0.0083073,0.025021,8.0458e-07,0.75,0.05,0
0.039996,0.0067743,0.007478,0.025018,-2.9408e-05,-2.2919e-05,3.4268e-05,2.5143e-06,-2.4374e-05,0.050067,-0.015056,-0.015039,0.0001782,1.3074e-05,-0.00012675,0,0,0,0.025018,-1.8147e-05,-3.4276e-05,0.012526,0.0083218,0.025044,8.0675e-07,0.8,0.05,0
0.042499,0.006811,0.0075013,0.025016,-1.8299e-05,-2.2425e-05,4.389e-05,9.8684e-06,-1.5442e-05,0.050057,-0.015033,-0.015044,0.00022823,5.1316e-05,-8.0297e-05,0,0,0,0.025016,-8.9063e-06,-3.1925e-05,0.012524,0.0083251,0.025037,8.0604e-07,0.85,0.05,0
0.045001,0.0068416,0.0075189,0.025,-9.6609e-06,-2.2566e-05,3.8666e-05,1.6305e-05,-8.8538e-06,0.05002,-0.015006,-0.01504,0.00020107,8.4787e-05,-4.604e-05,0,0,0,0.025,2.0861e-06,-3.4393e-05,0.012517,0.0083227,0.025017,8.0412e-07,0.9,0.05,0
0.047501,0.0068619,0.0075299,0.024985,-4.2497e-06,-2.2881e-05,2.9389e-05,2.0633e-05,-3.0663e-07,0.049986,-0.014986,-0.015034,0.00015282,0.00010729,-1.5945e-06,0,0,0,0.024985,9.783e-06,-3.6959e-05,0.012511,0.0083192,0.024998,8.0236e-07,0.95,0.05,0
0.048751,0.006869,0.0075337,0.024979,-2.415e-06,-2.3028e-05,2.6093e-05,2.2151e-05,5.4712e-06,0.049972,-0.014978,-0.015032,0.00013568,0.00011519,2.845e-05,0,0,0,0.024979,1.246e-05,-3.7938e-05,0.012508,0.0083177,0.024991,8.0167e-07,1,0.05,0
0.0014216,0.00072296,0.0011861,0.034265,0.010819,0.0090827,0.0049822,3.4944e-06,0.0066859,0.056589,-0.004371,-0.0088849,0.025907,1.8171e-05,0.034767,0,0,0,0.037151,0.010544,0.0064718,0.01534,0.018056,0.028876,1.217e-06,0,0.1,0
0.0028295,0.0014092,0.0021486,0.031704,0.0073662,0.0052511,0.0043312,3.7763e-05,0.0048026,0.055838,-0.0074409,-0.01294,0.022522,0.00019637,0.024973,0,0,0,0.033602,0.007007,0.0037131,0.014944,0.014774,0.028419,1.1586e-06,0.05,0.1,0
