"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.026103,0.011187,0.011187,0.0074168,0,0,0.11635,1.7347e-17,0,0.1157,0,0,0,0.029163,0.008127,0.011187,22.421,0.016159,0.019685,3.6008e-07,0,0,0
0.0023269,0.002314,0.0187,0.0013672,0.0060203,0.0029557,0,0,0.098905,-0.036294,0,0.046109,0,0,0,0.019191,0.00087701,0.0060203,9.4159,0.008696,0.01636,1.5223e-07,0.02,0,0
0.0039562,0.003756,0.013741,0.00055764,0.0042896,0.00098784,0,0,0.07372,-0.029109,0,0.01541,0,0,0,0.013815,0.00048404,0.0042896,4.2615,0.006196,0.011893,5.7524e-08,0.04,0,0
0.0052757,0.0049872,0.01139,-5.8212e-05,0.0033997,0.00060277,0,0,0.062328,-0.026971,0,0.0094033,0,0,0,0.011422,-8.9861e-05,0.0033997,3.0056,0.0049106,0.010224,3.4112e-08,0.06,0,0
0.0064493,0.006021,0.010262,-0.00013594,0.0030378,0.00037881,0,0,0.056347,-0.024755,0,0.0059094,0,0,0,0.010276,-0.00014972,0.0030378,2.0837,0.0043879,0.0092529,2.5009e-08,0.08,0,0
0.0075296,0.0069102,0.0095241,-0.00017058,0.0028061,0.00026851,0,0,0.052401,-0.023218,0,0.0041888,0,0,0,0.0095315,-0.00017801,0.0028061,1.5853,0.0040532,0.0086143,2.0044e-08,0.1,0,0
0.0085454,0.0076777,0.0090057,-0.00017601,0.0026489,0.0002002,0,0,0.049583,-0.022034,0,0.0031231,0,0,0,0.0090101,-0.00018038,0.0026489,1.2485,0.0038262,0.0081527,1.6954e-08,0.12,0,0
0.0095129,0.0083397,0.0086139,-0.0001751,0.0025316,0.00015585,0,0,0.047441,-0.021112,0,0.0024312,0,0,0,0.0086166,-0.00017787,0.0025316,1.0155,0.0036568,0.007801,1.4838e-08,0.14,0,0
0.010443,0.008907,0.0083054,-0.00017155,0.0024402,0.00012498,0,0,0.045749,-0.020371,0,0.0019496,0,0,0,0.0083073,-0.0001734,0.0024402,0.84448,0.0035247,0.0075225,1.3299e-08,0.16,0,0
0.011343,0.0093872,0.0080552,-0.0001674,0.0023663,0.00010227,0,0,0.044373,-0.019763,0,0.0015954,0,0,0,0.0080565,-0.00016867,0.0023663,0.71248,0.0034181,0.0072958,1.2132e-08,0.18,0,0
