"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.013372,0.005731,0.005731,0.0038125,0,0,0.11921,3.4694e-18,0,0.11895,0,0,0,0.014949,0.0041542,0.005731,22.469,0.0082781,0.010099,4.8586e-08,0,0,0
0.0023841,0.002379,0.0095702,0.00070555,0.0030827,0.0015214,0,0,0.1012,-0.037084,0,0.047469,0,0,0,0.009824,0.0004517,0.0030827,9.4726,0.0044528,0.0083728,2.0416e-08,0.02,0,0
0.0040482,0.0038681,0.007006,0.00028778,0.0021881,0.0005129,0,0,0.075159,-0.029646,0,0.016003,0,0,0,0.0070449,0.00024885,0.0021881,4.3407,0.0031606,0.0060637,7.6264e-09,0.04,0,0
0.0053904,0.0051411,0.0057827,-3.0132e-05,0.0017258,0.00031477,0,0,0.063288,-0.027392,0,0.0098207,0,0,0,0.0057997,-4.7127e-05,0.0017258,3.0905,0.0024928,0.0051926,4.4668e-09,0.06,0,0
0.0065797,0.0062104,0.005189,-7.1398e-05,0.0015353,0.00019932,0,0,0.056998,-0.025064,0,0.0062188,0,0,0,0.0051965,-7.894e-05,0.0015353,2.1668,0.0022176,0.0046819,3.2367e-09,0.08,0,0
0.0076704,0.0071292,0.0047978,-9.0101e-05,0.0014123,0.00014233,0,0,0.052813,-0.023438,0,0.0044408,0,0,0,0.0048019,-9.4242e-05,0.0014123,1.6665,0.00204,0.0043435,2.5654e-09,0.1,0,0
0.0086922,0.0079206,0.0045203,-9.3567e-05,0.001328,0.00010701,0,0,0.049799,-0.022177,0,0.0033387,0,0,0,0.0045227,-9.6047e-05,0.001328,1.3279,0.0019182,0.0040968,2.147e-09,0.12,0,0
0.0096623,0.0086007,0.0043084,-9.363e-05,0.0012644,8.4066e-05,0,0,0.047486,-0.021186,0,0.0026229,0,0,0,0.00431,-9.5235e-05,0.0012644,1.0937,0.0018264,0.0039071,1.8597e-09,0.14,0,0
0.010592,0.0091802,0.0041398,-9.225e-05,0.0012143,6.8078e-05,0,0,0.045639,-0.020382,0,0.002124,0,0,0,0.0041409,-9.3345e-05,0.0012143,0.92135,0.001754,0.0037553,1.65e-09,0.16,0,0
0.011488,0.0096668,0.0040016,-9.0496e-05,0.0011733,5.6271e-05,0,0,0.044121,-0.019716,0,0.0017557,0,0,0,0.0040023,-9.127e-05,0.0011733,0.78769,0.0016948,0.0036304,1.4902e-09,0.18,0,0
0.012356,0.010065,0.0038863,-8.8657e-05,0.0011393,4.6892e-05,0,0,0.042853,-0.019156,0,0.0014631,0,0,0,0.0038868,-8.921e-05,0.0011393,0.67579,0.0016456,0.0035261,1.3651e-09,0.2,0,0
0.013202,0.01038,0.0037902,-8.6764e-05,0.001111,3.876e-05,0,0,0.041795,-0.018686,0,0.0012093,0,0,0,0.0037906,-8.7152e-05,0.001111,0.57273,0.0016048,0.0034389,1.2662e-09,0.22,0,0
0.014028,0.010613,0.003712,-8.4686e-05,0.0010882,3.1007e-05,0,0,0.040932,-0.018297,0,0.00096741,0,0,0,0.0037123,-8.4939e-05,0.0010882,0.46788,0.0015719,0.0033676,1.1892e-09,0.24,0,0
0.014839,0.010766,0.0036523,-8.2199e-05,0.001071,2.2978e-05,0,0,0.040268,-0.01799,0,0.0007169,0,0,0,0.0036525,-8.234e-05,0.001071,0.35251,0.001547,0.0033123,1.1323e-09,0.26,0,0
0.015639,0.01084,0.0036131,-7.9017e-05,0.0010602,1.4187e-05,0,0,0.039825,-0.017772,0,0.00044262,0,0,0,0.0036132,-7.9072e-05,0.0010602,0.22015,0.0015314,0.0032747,1.0954e-09,0.28,0,0
0.016432,0.010836,0.0035974,-7.482e-05,0.0010568,4.3127e-06,0,0,0.039634,-0.017653,0,0.00013455,0,0,0,0.0035974,-7.4825e-05,0.0010568,0.067288,0.0015265,0.0032574,1.08e-09,0.3,0,0
0.017224,0.010756,0.003609,-6.9276e-05,0.0010619,-6.7826e-06,0,0,0.039734,-0.017646,0,-0.00021162,0,0,0,0.003609,-6.9288e-05,0.0010619,-0.10565,0.0015339,0.0032632,1.0886e-09,0.32,0,0
0.018022,0.010603,0.0036515,-6.2071e-05,0.0010768,-1.9028e-05,0,0,0.040165,-0.017767,0,-0.00059368,0,0,0,0.0036516,-6.2168e-05,0.0010768,-0.29357,0.0015554,0.0032953,1.1252e-09,0.34,0,0
