"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.015965,0.0068423,0.0068423,0.0045485,0,0,0.1186,1.3878e-17,0,0.11826,0,0,0,0.017846,0.004962,0.0068423,22.459,0.0098833,0.012054,8.2621e-08,0,0,0
0.002372,0.0023652,0.011428,0.00084108,0.0036808,0.0018146,0,0,0.10072,-0.036917,0,0.047181,0,0,0,0.011731,0.00053869,0.0036808,9.4608,0.0053167,0.0099984,3.4762e-08,0.02,0,0
0.0040287,0.0038443,0.0083728,0.00034307,0.0026147,0.00061066,0,0,0.074854,-0.029532,0,0.015877,0,0,0,0.0084189,0.0002969,0.0026147,4.3242,0.0037769,0.0072467,1.3016e-08,0.04,0,0
0.0053662,0.0051085,0.006917,-3.5888e-05,0.0020643,0.00037432,0,0,0.063085,-0.027303,0,0.0097324,0,0,0,0.0069371,-5.5982e-05,0.0020643,3.0728,0.0029818,0.0062106,7.6435e-09,0.06,0,0
0.0065521,0.0061703,0.006212,-8.4798e-05,0.0018382,0.00023667,0,0,0.05686,-0.024998,0,0.0061534,0,0,0,0.0062209,-9.368e-05,0.0018382,2.1495,0.0026551,0.0056042,5.5521e-09,0.08,0,0
0.0076406,0.0070829,0.0057482,-0.00010689,0.0016924,0.00016875,0,0,0.052726,-0.023391,0,0.0043876,0,0,0,0.0057531,-0.00011175,0.0016924,1.6495,0.0024446,0.0052029,4.4109e-09,0.1,0,0
0.0086611,0.0078693,0.0054198,-0.00011086,0.0015927,0.00012666,0,0,0.049753,-0.022146,0,0.0032933,0,0,0,0.0054227,-0.00011376,0.0015927,1.3113,0.0023006,0.0049109,3.6997e-09,0.12,0,0
0.0096307,0.0085456,0.0051696,-0.0001108,0.0015176,9.933e-05,0,0,0.047476,-0.02117,0,0.0025826,0,0,0,0.0051715,-0.00011267,0.0015176,1.0773,0.0021922,0.0046867,3.2115e-09,0.14,0,0
0.01056,0.0091226,0.004971,-0.00010905,0.0014586,8.0287e-05,0,0,0.045661,-0.020379,0,0.0020875,0,0,0,0.0049722,-0.00011032,0.0014586,0.90523,0.0021068,0.0045077,2.8555e-09,0.16,0,0
0.011457,0.0096079,0.0048084,-0.00010687,0.0014104,6.6237e-05,0,0,0.044173,-0.019725,0,0.0017221,0,0,0,0.0048092,-0.00010776,0.0014104,0.77192,0.0020373,0.0043608,2.5844e-09,0.18,0,0
