"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.0081089,0.0034752,0.0034752,0.0023153,0,0,0.12047,1.7347e-17,0,0.12039,0,0,0,0.0090674,0.0025167,0.0034752,22.49,0.0050198,0.006128,1.085e-08,0,0,0
0.0024095,0.0024079,0.0058007,0.00042917,0.001869,0.00092447,0,0,0.10222,-0.037435,0,0.048072,0,0,0,0.0059553,0.00027452,0.001869,9.497,0.0026996,0.0050751,4.5473e-09,0.02,0,0
0.004089,0.0039178,0.0042397,0.00017504,0.0013244,0.0003128,0,0,0.075797,-0.029884,0,0.016265,0,0,0,0.0042636,0.00015111,0.0013244,4.3749,0.001913,0.0036694,1.6903e-09,0.04,0,0
0.0054414,0.0052093,0.0034929,-1.8373e-05,0.0010424,0.00019242,0,0,0.063714,-0.027579,0,0.010006,0,0,0,0.0035034,-2.8886e-05,0.0010424,3.1273,0.0015056,0.003137,9.8474e-10,0.06,0,0
0.0066376,0.0062942,0.0031289,-4.3772e-05,0.00092554,0.00012222,0,0,0.057287,-0.025202,0,0.0063555,0,0,0,0.0031336,-4.8473e-05,0.00092554,2.2029,0.0013369,0.002824,7.0992e-10,0.08,0,0
0.0077329,0.0072261,0.0028882,-5.536e-05,0.00084986,8.7534e-05,0,0,0.052998,-0.023536,0,0.0045518,0,0,0,0.0028908,-5.7961e-05,0.00084986,1.7018,0.0012276,0.0026158,5.5998e-10,0.1,0,0
0.0087575,0.0080279,0.0027169,-5.7638e-05,0.00079778,6.6026e-05,0,0,0.049897,-0.022241,0,0.0034333,0,0,0,0.0027185,-5.9208e-05,0.00079778,1.3624,0.0011523,0.0024636,4.6647e-10,0.12,0,0
0.0097287,0.0087158,0.0025856,-5.7812e-05,0.00075834,5.2052e-05,0,0,0.047509,-0.02122,0,0.0027067,0,0,0,0.0025866,-5.8836e-05,0.00075834,1.1276,0.0010954,0.0023461,4.0223e-10,0.14,0,0
0.010658,0.0093006,0.0024807,-5.7086e-05,0.00072709,4.2306e-05,0,0,0.045594,-0.020388,0,0.0021999,0,0,0,0.0024814,-5.7791e-05,0.00072709,0.95479,0.0010502,0.0022518,3.5531e-10,0.16,0,0
0.011553,0.0097896,0.0023943,-5.6115e-05,0.00070146,3.5095e-05,0,0,0.044014,-0.019697,0,0.0018249,0,0,0,0.0023948,-5.6617e-05,0.00070146,0.82036,0.0010132,0.0021739,3.1951e-10,0.18,0,0
0.012418,0.010188,0.002322,-5.5078e-05,0.00068008,2.9345e-05,0,0,0.04269,-0.019114,0,0.0015259,0,0,0,0.0023224,-5.544e-05,0.00068008,0.70716,0.00098234,0.0021086,2.9145e-10,0.2,0,0
0.01326,0.0105,0.0022616,-5.3991e-05,0.00066227,2.4327e-05,0,0,0.041581,-0.018623,0,0.001265,0,0,0,0.0022618,-5.4247e-05,0.00066227,0.60186,0.00095661,0.0020538,2.6926e-10,0.22,0,0
0.014082,0.010726,0.0022122,-5.2771e-05,0.00064783,1.9509e-05,0,0,0.040674,-0.018216,0,0.0010144,0,0,0,0.0022124,-5.2939e-05,0.00064783,0.49345,0.00093576,0.0020088,2.5198e-10,0.24,0,0
0.014887,0.01087,0.0021744,-5.1277e-05,0.00063695,1.4485e-05,0,0,0.039975,-0.017894,0,0.0007532,0,0,0,0.0021745,-5.1371e-05,0.00063695,0.37285,0.00092003,0.0019739,2.3919e-10,0.26,0,0
