"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.050091,0.021468,0.021468,0.014147,0,0,0.11163,3.4694e-18,0,0.11035,0,0,0,0.055903,0.015655,0.021468,22.334,0.031009,0.03768,2.5286e-06,0,0,0
0.0022326,0.002207,0.035951,0.0025892,0.011562,0.0056244,0,0,0.095116,-0.034993,0,0.04387,0,0,0,0.036873,0.0016665,0.011562,9.3166,0.016701,0.031449,1.0805e-06,0.02,0,0
0.0038046,0.0035713,0.026588,0.0010556,0.008293,0.0018504,0,0,0.071349,-0.028226,0,0.014433,0,0,0,0.026721,0.00092221,0.008293,4.1237,0.011979,0.023016,4.1655e-07,0.04,0,0
0.0050866,0.0047331,0.022204,-0.0001103,0.0066281,0.001117,0,0,0.060746,-0.02628,0,0.0087129,0,0,0,0.02226,-0.00016608,0.0066281,2.8587,0.0095739,0.019918,2.5237e-07,0.06,0,0
0.0062344,0.0057078,0.020141,-0.0002499,0.0059674,0.00069183,0,0,0.055278,-0.024248,0,0.0053963,0,0,0,0.020165,-0.00027334,0.0059674,1.9409,0.0086196,0.018142,1.8881e-07,0.08,0,0
0.0072977,0.0065474,0.018815,-0.00031001,0.0055514,0.00048327,0,0,0.051727,-0.02286,0,0.0037695,0,0,0,0.018827,-0.00032221,0.0055514,1.4466,0.0080187,0.016992,1.5422e-07,0.1,0,0
0.0083035,0.0072748,0.0179,-0.00031586,0.0052753,0.00035419,0,0,0.049237,-0.021805,0,0.0027627,0,0,0,0.017907,-0.00032275,0.0052753,1.1135,0.0076199,0.016175,1.3283e-07,0.12,0,0
0.0092672,0.007906,0.017223,-0.00031054,0.0050738,0.00027041,0,0,0.047383,-0.020999,0,0.0021092,0,0,0,0.017227,-0.00031471,0.0050738,0.88336,0.0073289,0.015564,1.183e-07,0.14,0,0
0.010199,0.0084519,0.016703,-0.00030074,0.0049207,0.00021217,0,0,0.045951,-0.020364,0,0.001655,0,0,0,0.016706,-0.00030339,0.0049207,0.71478,0.0071077,0.015091,1.0786e-07,0.16,0,0
0.011105,0.0089206,0.016292,-0.00029018,0.0048006,0.00016958,0,0,0.044817,-0.019854,0,0.0013227,0,0,0,0.016294,-0.00029192,0.0048006,0.58587,0.0069342,0.014716,1.0005e-07,0.18,0,0
0.011992,0.0093178,0.015963,-0.00027985,0.0047048,0.00013656,0,0,0.043905,-0.01944,0,0.0010651,0,0,0,0.015964,-0.000281,0.0047048,0.48167,0.0067958,0.014414,9.4065e-08,0.2,0,0
0.012861,0.0096478,0.015698,-0.00026992,0.0046286,0.0001091,0,0,0.043173,-0.019104,0,0.00085101,0,0,0,0.015699,-0.00027067,0.0046286,0.39145,0.0066857,0.01417,8.9433e-08,0.22,0,0
