"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.13449,0.057638,0.057638,0.037325,0,0,0.099906,1.0408e-17,0,0.097046,0,0,0,0.14963,0.042494,0.057638,22.084,0.083255,0.10043,4.8057e-05,0,0,0
0.0019981,0.0019409,0.09702,0.0066825,0.031111,0.014734,0,0,0.085682,-0.031757,0,0.038309,0,0,0,0.099362,0.0043401,0.031111,9.0332,0.044938,0.084865,2.1183e-05,0.02,0,0
0.0034273,0.0031115,0.073076,0.0027165,0.022738,0.0046165,0,0,0.065439,-0.026027,0,0.012003,0,0,0,0.073377,0.0024149,0.022738,3.738,0.032843,0.063297,8.6421e-06,0.04,0,0
0.0046157,0.0040999,0.062293,-0.00029111,0.0186,0.0026893,0,0,0.0568,-0.024559,0,0.0069921,0,0,0,0.062408,-0.00040646,0.0186,2.456,0.026867,0.055795,5.5562e-06,0.06,0,0
0.0056993,0.0049262,0.057563,-0.00059161,0.017091,0.0015819,0,0,0.052613,-0.022988,0,0.0041129,0,0,0,0.057606,-0.00063461,0.017091,1.557,0.024688,0.051709,4.3903e-06,0.08,0,0
0.0067202,0.0056406,0.054701,-0.00070325,0.016199,0.0010448,0,0,0.050052,-0.021973,0,0.0027165,0,0,0,0.054721,-0.00072295,0.016199,1.08,0.023399,0.049215,3.7717e-06,0.1,0,0
0.0077014,0.0062655,0.052881,-0.00068302,0.015659,0.00071272,0,0,0.048388,-0.021245,0,0.0018531,0,0,0,0.05289,-0.00069251,0.015659,0.7622,0.022619,0.047564,3.4053e-06,0.12,0,0
0.0086557,0.006817,0.051662,-0.00064035,0.015306,0.0004968,0,0,0.047262,-0.020731,0,0.0012917,0,0,0,0.051666,-0.00064507,0.015306,0.54417,0.022109,0.046438,3.1723e-06,0.14,0,0
0.0095918,0.0073065,0.050841,-0.00059008,0.015075,0.0003467,0,0,0.046495,-0.020365,0,0.00090141,0,0,0,0.050843,-0.00059242,0.015075,0.38621,0.021775,0.045664,3.0205e-06,0.16,0,0
0.010516,0.0077424,0.050297,-0.0005406,0.014927,0.00023839,0,0,0.045981,-0.020108,0,0.00061983,0,0,0,0.050299,-0.00054172,0.014927,0.26867,0.021561,0.045139,2.9218e-06,0.18,0,0
0.011431,0.0081315,0.049955,-0.0004941,0.014838,0.00015795,0,0,0.045652,-0.019932,0,0.00041068,0,0,0,0.049955,-0.00049459,0.014838,0.17939,0.021433,0.044797,2.8598e-06,0.2,0,0
0.012342,0.0084794,0.049762,-0.00045129,0.014793,9.6987e-05,0,0,0.04546,-0.019818,0,0.00025217,0,0,0,0.049762,-0.00045147,0.014793,0.11067,0.021368,0.044591,2.8243e-06,0.22,0,0
0.01325,0.0087906,0.049683,-0.00041216,0.014781,5.0118e-05,0,0,0.045372,-0.019751,0,0.00013031,0,0,0,0.049683,-0.00041221,0.014781,0.057322,0.021351,0.044489,2.8086e-06,0.24,0,0
0.014157,0.0090692,0.04969,-0.0003765,0.014794,1.3755e-05,0,0,0.045365,-0.019722,0,3.5763e-05,0,0,0,0.04969,-0.0003765,0.014794,0.015741,0.021369,0.044467,2.8077e-06,0.26,0,0
0.015064,0.0093185,0.049765,-0.00034398,0.014826,-1.4593e-05,0,0,0.04542,-0.019721,0,-3.7941e-05,0,0,0,0.049765,-0.00034398,0.014826,-0.016686,0.021416,0.044507,2.8184e-06,0.28,0,0
0.015973,0.0095414,0.049891,-0.0003143,0.014873,-3.6702e-05,0,0,0.045524,-0.019744,0,-9.5426e-05,0,0,0,0.049891,-0.00031432,0.014873,-0.041886,0.021483,0.044596,2.8381e-06,0.3,0,0
0.016885,0.0097405,0.050057,-0.00028716,0.014931,-5.3879e-05,0,0,0.045664,-0.019783,0,-0.00014008,0,0,0,0.050057,-0.00028722,0.014931,-0.061319,0.021567,0.044721,2.8648e-06,0.32,0,0
0.0178,0.0099183,0.050253,-0.00026231,0.014997,-6.7102e-05,0,0,0.045832,-0.019837,0,-0.00017447,0,0,0,0.050253,-0.0002624,0.014997,-0.076109,0.021663,0.044875,2.897e-06,0.34,0,0
0.018718,0.010077,0.050471,-0.00023952,0.015069,-7.7121e-05,0,0,0.046022,-0.019902,0,-0.00020051,0,0,0,0.050471,-0.00023964,0.015069,-0.087136,0.021767,0.045051,2.9334e-06,0.36,0,0
