"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.022523,0.0096529,0.0096529,0.0064057,0,0,0.11712,-6.9389e-18,0,0.11658,0,0,0,0.025168,0.0070082,0.0096529,22.434,0.013943,0.016993,2.3156e-07,0,0,0
0.0023424,0.0023317,0.016131,0.0011821,0.005194,0.0025538,0,0,0.099529,-0.036509,0,0.046478,0,0,0,0.016556,0.00075787,0.005194,9.4315,0.0075025,0.014113,9.7731e-08,0.02,0,0
0.0039812,0.0037865,0.011841,0.00048217,0.003697,0.00085555,0,0,0.074111,-0.029255,0,0.015571,0,0,0,0.011905,0.00041809,0.003697,4.2833,0.00534,0.010249,3.6812e-08,0.04,0,0
0.0053069,0.005029,0.0098039,-5.0358e-05,0.0029261,0.0005229,0,0,0.062588,-0.027085,0,0.0095167,0,0,0,0.0098316,-7.8027e-05,0.0029261,3.0289,0.0042265,0.0088009,2.1756e-08,0.06,0,0
0.0064847,0.0060724,0.0088228,-0.0001181,0.0026114,0.00032932,0,0,0.056524,-0.024839,0,0.0059936,0,0,0,0.0088349,-0.00013022,0.0026114,2.1065,0.003772,0.0079568,1.5899e-08,0.08,0,0
0.0075678,0.0069697,0.0081801,-0.00014844,0.0024095,0.00023393,0,0,0.052512,-0.023277,0,0.0042574,0,0,0,0.0081867,-0.000155,0.0024095,1.6076,0.0034804,0.0074005,1.2704e-08,0.1,0,0
0.0085852,0.0077437,0.0077272,-0.00015344,0.0022721,0.00017483,0,0,0.049641,-0.022073,0,0.0031819,0,0,0,0.0077311,-0.00015732,0.0022721,1.2702,0.003282,0.0069975,1.0714e-08,0.12,0,0
0.0095535,0.0084107,0.0073839,-0.00015291,0.0021693,0.00013646,0,0,0.047453,-0.021132,0,0.0024836,0,0,0,0.0073863,-0.00015538,0.0021693,1.0369,0.0031334,0.0066895,9.3502e-09,0.14,0,0
0.010483,0.0089814,0.0071128,-0.00015005,0.0020888,0.00010975,0,0,0.045718,-0.020374,0,0.0019974,0,0,0,0.0071144,-0.00015171,0.0020888,0.86552,0.0030172,0.0064449,8.3574e-09,0.16,0,0
0.011382,0.0094634,0.0068921,-0.00014664,0.0020236,9.0076e-05,0,0,0.044303,-0.019749,0,0.0016394,0,0,0,0.0068933,-0.00014779,0.0020236,0.73306,0.002923,0.0062452,7.6029e-09,0.18,0,0
0.012255,0.0098622,0.0067096,-0.00014316,0.0019699,7.4553e-05,0,0,0.043131,-0.019229,0,0.0013569,0,0,0,0.0067104,-0.00014397,0.0019699,0.62324,0.0028454,0.0060796,7.0138e-09,0.2,0,0
0.013107,0.010182,0.0065585,-0.00013966,0.0019257,6.1235e-05,0,0,0.042159,-0.018794,0,0.0011145,0,0,0,0.0065591,-0.00014022,0.0019257,0.52374,0.0027815,0.0059421,6.5495e-09,0.22,0,0
