"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.031044,0.013305,0.013305,0.0088095,0,0,0.11531,3.4694e-18,0,0.11452,0,0,0,0.034676,0.0096733,0.013305,22.402,0.019218,0.023399,6.049e-07,0,0,0
0.0023061,0.0022905,0.022249,0.0016214,0.0071611,0.0035089,0,0,0.098071,-0.036008,0,0.045616,0,0,0,0.022829,0.0010409,0.0071611,9.3947,0.010344,0.019464,2.5632e-07,0.02,0,0
0.0039228,0.0037154,0.016371,0.00066132,0.0051097,0.0011689,0,0,0.073198,-0.028914,0,0.015195,0,0,0,0.016457,0.00057483,0.0051097,4.232,0.0073807,0.01417,9.7272e-08,0.04,0,0
0.0052341,0.0049313,0.013592,-6.901e-05,0.004057,0.00071165,0,0,0.061979,-0.026819,0,0.0092515,0,0,0,0.013629,-0.00010598,0.004057,2.9739,0.0058601,0.012199,5.7948e-08,0.06,0,0
0.006402,0.0059521,0.012264,-0.00016019,0.003631,0.0004459,0,0,0.056112,-0.024643,0,0.0057967,0,0,0,0.01228,-0.00017618,0.003631,2.0529,0.0052448,0.011055,4.2671e-08,0.08,0,0
0.0074785,0.0068304,0.011398,-0.00020055,0.0033592,0.00031514,0,0,0.052252,-0.023138,0,0.0040969,0,0,0,0.011406,-0.00020911,0.0033592,1.5553,0.0048522,0.010306,3.4341e-08,0.1,0,0
0.0084921,0.0075892,0.010792,-0.00020641,0.0031757,0.00023417,0,0,0.049506,-0.021983,0,0.0030442,0,0,0,0.010797,-0.00021139,0.0031757,1.2191,0.0045871,0.0097657,2.9161e-08,0.12,0,0
0.0094588,0.0082445,0.010336,-0.00020486,0.0030393,0.0001816,0,0,0.047427,-0.021087,0,0.0023608,0,0,0,0.010339,-0.00020799,0.0030393,0.98676,0.0043901,0.0093559,2.5618e-08,0.14,0,0
0.010389,0.0088072,0.0099783,-0.00020025,0.0029334,0.00014503,0,0,0.045792,-0.020369,0,0.0018854,0,0,0,0.0099803,-0.00020232,0.0029334,0.81617,0.0042371,0.0090327,2.3048e-08,0.16,0,0
0.01129,0.009285,0.0096897,-0.00019497,0.0028484,0.00011816,0,0,0.044468,-0.019782,0,0.0015361,0,0,0,0.0096911,-0.00019638,0.0028484,0.6848,0.0041144,0.0087709,2.1102e-08,0.18,0,0
0.012168,0.0096835,0.0094529,-0.00018967,0.002779,9.7083e-05,0,0,0.043381,-0.019296,0,0.0012621,0,0,0,0.0094539,-0.00019065,0.002779,0.57678,0.0040141,0.0085554,1.9588e-08,0.2,0,0
0.013026,0.010007,0.0092587,-0.00018444,0.0027223,7.9172e-05,0,0,0.042487,-0.018894,0,0.0010292,0,0,0,0.0092593,-0.0001851,0.0027223,0.48033,0.0039322,0.008378,1.84e-08,0.22,0,0
0.013867,0.010257,0.0091029,-0.00017903,0.0026772,6.2542e-05,0,0,0.041767,-0.018565,0,0.00081305,0,0,0,0.0091033,-0.00017945,0.0026772,0.38604,0.003867,0.0082348,1.748e-08,0.24,0,0
0.014696,0.010437,0.0089857,-0.00017298,0.0026438,4.5771e-05,0,0,0.041222,-0.018309,0,0.00059502,0,0,0,0.0089859,-0.00017321,0.0026438,0.28633,0.0038188,0.0081255,1.6805e-08,0.26,0,0
0.015516,0.010548,0.0089103,-0.00016573,0.0026234,2.7796e-05,0,0,0.040865,-0.018129,0,0.00036135,0,0,0,0.0089104,-0.00016582,0.0026234,0.17547,0.0037893,0.0080524,1.6374e-08,0.28,0,0
