"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.019809,0.0084897,0.0084897,0.0056379,0,0,0.11772,6.9389e-18,0,0.11727,0,0,0,0.022138,0.0061608,0.0084897,22.444,0.012263,0.01495,1.5765e-07,0,0,0
0.0023545,0.0023453,0.014184,0.0010413,0.0045677,0.0022483,0,0,0.10001,-0.036675,0,0.046765,0,0,0,0.014558,0.00066731,0.0045677,9.4436,0.0065978,0.012409,6.6452e-08,0.02,0,0
0.0040006,0.0038101,0.010404,0.00042473,0.0032485,0.00075461,0,0,0.074414,-0.029368,0,0.015696,0,0,0,0.01046,0.00036799,0.0032485,4.3001,0.0046923,0.0090046,2.497e-08,0.04,0,0
0.005331,0.0050615,0.0086061,-4.4383e-05,0.0025685,0.00046176,0,0,0.062791,-0.027174,0,0.0096047,0,0,0,0.0086307,-6.8963e-05,0.0025685,3.0469,0.0037101,0.0077262,1.4718e-08,0.06,0,0
0.0065122,0.0061123,0.0077383,-0.00010442,0.0022902,0.00029129,0,0,0.056661,-0.024904,0,0.0060588,0,0,0,0.0077491,-0.00011522,0.0022902,2.1241,0.003308,0.0069798,1.0729e-08,0.08,0,0
0.0075975,0.0070159,0.0071689,-0.0001314,0.0021112,0.00020724,0,0,0.052599,-0.023324,0,0.0043106,0,0,0,0.0071747,-0.00013728,0.0021112,1.6248,0.0030496,0.0064869,8.553e-09,0.1,0,0
0.0086162,0.007795,0.0067668,-0.00013602,0.0019892,0.00015516,0,0,0.049687,-0.022103,0,0.0032274,0,0,0,0.0067703,-0.0001395,0.0019892,1.287,0.0028733,0.0061292,7.1971e-09,0.12,0,0
0.0095849,0.0084658,0.0064613,-0.00013571,0.0018977,0.00012135,0,0,0.047462,-0.021147,0,0.002524,0,0,0,0.0064636,-0.00013794,0.0018977,1.0534,0.0027411,0.0058554,6.2673e-09,0.14,0,0
0.010515,0.009039,0.0062195,-0.00013334,0.0018259,9.78e-05,0,0,0.045694,-0.020376,0,0.0020343,0,0,0,0.0062211,-0.00013484,0.0018259,0.88177,0.0026374,0.0056374,5.5899e-09,0.16,0,0
0.011413,0.0095224,0.0060223,-0.00013046,0.0017675,8.0447e-05,0,0,0.044249,-0.019739,0,0.0016733,0,0,0,0.0060234,-0.00013151,0.0017675,0.74896,0.0025531,0.005459,5.0745e-09,0.18,0,0
0.012285,0.0099213,0.0058587,-0.0001275,0.0017194,6.6726e-05,0,0,0.043049,-0.019207,0,0.0013879,0,0,0,0.0058595,-0.00012824,0.0017194,0.63855,0.0024835,0.0053107,4.6717e-09,0.2,0,0
0.013135,0.010239,0.0057231,-0.0001245,0.0016796,5.4917e-05,0,0,0.042052,-0.018762,0,0.0011423,0,0,0,0.0057236,-0.00012502,0.0016796,0.53803,0.002426,0.0051873,4.354e-09,0.22,0,0
0.013967,0.010479,0.0056132,-0.00012129,0.0016476,4.3764e-05,0,0,0.041242,-0.018396,0,0.00091028,0,0,0,0.0056135,-0.00012163,0.0016476,0.43723,0.0023798,0.0050868,4.1068e-09,0.24,0,0
0.014784,0.010642,0.0055296,-0.00011755,0.0016236,3.2317e-05,0,0,0.040622,-0.018108,0,0.0006722,0,0,0,0.0055298,-0.00011774,0.0016236,0.32788,0.0023452,0.0050092,3.9243e-09,0.26,0,0
0.015592,0.01073,0.005475,-0.00011288,0.0016086,1.9871e-05,0,0,0.04021,-0.017904,0,0.00041332,0,0,0,0.0054751,-0.00011295,0.0016086,0.20375,0.0023236,0.0049568,3.8065e-09,0.28,0,0
0.016393,0.010745,0.0054536,-0.00010683,0.001604,5.9522e-06,0,0,0.040035,-0.017793,0,0.00012381,0,0,0,0.0054536,-0.00010684,0.001604,0.061333,0.0023169,0.0049327,3.7579e-09,0.3,0,0
0.017193,0.010687,0.0054703,-9.8921e-05,0.0016114,-9.6564e-06,0,0,0.040133,-0.017788,0,-0.00020085,0,0,0,0.0054703,-9.8938e-05,0.0016114,-0.099344,0.0023276,0.0049413,3.7868e-09,0.32,0,0
0.017998,0.01056,0.0055305,-8.8717e-05,0.0016325,-2.6877e-05,0,0,0.040539,-0.017901,0,-0.00055904,0,0,0,0.0055306,-8.8845e-05,0.0016325,-0.27404,0.0023581,0.0049868,3.9054e-09,0.34,0,0
0.018815,0.010368,0.0056387,-7.5849e-05,0.0016689,-4.5297e-05,0,0,0.041287,-0.018145,0,-0.00094218,0,0,0,0.0056391,-7.6208e-05,0.0016689,-0.45412,0.0024106,0.0050731,4.1289e-09,0.36,0,0
0.01965,0.010117,0.0057979,-6.0105e-05,0.0017213,-6.4138e-05,0,0,0.042397,-0.018527,0,-0.0013341,0,0,0,0.0057986,-6.0807e-05,0.0017213,-0.62721,0.0024864,0.0052026,4.4754e-09,0.38,0,0
0.02051,0.0098165,0.0060083,-4.1524e-05,0.0017901,-8.2235e-05,0,0,0.04387,-0.019048,0,-0.0017105,0,0,0,0.0060095,-4.2641e-05,0.0017901,-0.77862,0.0025856,0.0053754,4.9639e-09,0.4,0,0
