"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.038314,0.01642,0.01642,0.010852,0,0,0.11385,-3.4694e-18,0,0.11286,0,0,0,0.042781,0.011952,0.01642,22.376,0.023718,0.028855,1.1349e-06,0,0,0
0.0022769,0.0022573,0.027474,0.0019931,0.0088401,0.0043194,0,0,0.096896,-0.035605,0,0.044922,0,0,0,0.028186,0.0012808,0.0088401,9.3642,0.012769,0.024035,4.825e-07,0.02,0,0
0.0038758,0.0036581,0.020256,0.00081279,0.0063206,0.0014319,0,0,0.072463,-0.028641,0,0.014892,0,0,0,0.020361,0.0007079,0.0063206,4.1896,0.0091297,0.017534,1.8423e-07,0.04,0,0
0.0051754,0.0048525,0.016856,-8.4823e-05,0.0050314,0.00086899,0,0,0.061489,-0.026604,0,0.0090375,0,0,0,0.016901,-0.00012928,0.0050314,2.9287,0.0072676,0.015125,1.1048e-07,0.06,0,0
0.0063354,0.005855,0.015241,-0.00019511,0.0045137,0.00054209,0,0,0.05578,-0.024486,0,0.0056378,0,0,0,0.01526,-0.00021413,0.0045137,2.0089,0.0065197,0.013734,8.1861e-08,0.08,0,0
0.0074067,0.006718,0.014193,-0.00024343,0.0041849,0.00038144,0,0,0.052043,-0.023027,0,0.003967,0,0,0,0.014203,-0.0002535,0.0041849,1.5125,0.0060449,0.012827,6.6266e-08,0.1,0,0
0.0084171,0.0074644,0.013464,-0.00024959,0.0039643,0.00028198,0,0,0.049398,-0.021912,0,0.0029326,0,0,0,0.01347,-0.00025539,0.0039643,1.1775,0.0057262,0.012177,5.6586e-08,0.12,0,0
0.0093826,0.0081102,0.012918,-0.00024684,0.0038015,0.00021743,0,0,0.047409,-0.021051,0,0.0022612,0,0,0,0.012922,-0.00025043,0.0038015,0.9459,0.0054911,0.011686,4.9982e-08,0.14,0,0
0.010313,0.0086663,0.012494,-0.00024045,0.0036761,0.00017253,0,0,0.045854,-0.020366,0,0.0017943,0,0,0,0.012497,-0.00024279,0.0036761,0.77605,0.0053099,0.011301,4.5205e-08,0.16,0,0
0.011217,0.0091406,0.012154,-0.00023334,0.0035762,0.00013961,0,0,0.044605,-0.01981,0,0.0014519,0,0,0,0.012156,-0.00023491,0.0035762,0.64561,0.0051657,0.010992,4.1603e-08,0.18,0,0
0.012098,0.0095386,0.011877,-0.00022627,0.0034953,0.00011389,0,0,0.043587,-0.019352,0,0.0011845,0,0,0,0.011879,-0.00022734,0.0034953,0.53907,0.0050488,0.01074,3.8814e-08,0.2,0,0
0.01296,0.0098646,0.011652,-0.00021938,0.0034298,9.2227e-05,0,0,0.042756,-0.018976,0,0.00095916,0,0,0,0.011653,-0.0002201,0.0034298,0.44508,0.0049542,0.010533,3.6635e-08,0.22,0,0
0.013808,0.010121,0.011473,-0.00021237,0.0033782,7.2342e-05,0,0,0.042093,-0.018671,0,0.00075235,0,0,0,0.011473,-0.00021282,0.0033782,0.35469,0.0048796,0.010368,3.4957e-08,0.24,0,0
0.014644,0.010311,0.01134,-0.00020475,0.0033404,5.2534e-05,0,0,0.041595,-0.018435,0,0.00054635,0,0,0,0.01134,-0.00020499,0.0033404,0.26072,0.0048251,0.010243,3.3733e-08,0.26,0,0
0.015472,0.010436,0.011255,-0.00019584,0.0033177,3.1531e-05,0,0,0.041273,-0.01827,0,0.00032792,0,0,0,0.011255,-0.00019592,0.0033177,0.15777,0.0047922,0.01016,3.2959e-08,0.28,0,0
0.016295,0.010497,0.011225,-0.0001849,0.003312,8.4571e-06,0,0,0.041147,-0.018184,0,8.7953e-05,0,0,0,0.011225,-0.0001849,0.003312,0.042468,0.004784,0.010125,3.2664e-08,0.3,0,0
