"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.041254,0.000739,0.0089386,0.00026124,0.00276,0.00062889,0,0,0.07229,-0.029235,0,0.014716,0,0,0,0.008984,0.00021589,0.00276,4.1238,0.0039866,0.0078131,1.6027e-08,0.88,0.46,0
0.042703,0.00070699,0.0089261,0.00015677,0.0027249,0.00053844,0,0,0.072554,-0.030047,0,0.012599,0,0,0,0.008959,0.00012384,0.0027249,3.5004,0.0039359,0.0078642,1.6079e-08,0.9,0.46,0
0.044157,0.00069254,0.0089171,7.1531e-05,0.0026966,0.00043776,0,0,0.07278,-0.030713,0,0.010243,0,0,0,0.0089387,4.992e-05,0.0026966,2.8263,0.0038951,0.007905,1.6116e-08,0.92,0.46,0
0.045614,0.00068786,0.0089099,6.1484e-06,0.0026748,0.00033132,0,0,0.072951,-0.031223,0,0.0077529,0,0,0,0.0089222,-6.1633e-06,0.0026748,2.1281,0.0038636,0.0079352,1.6136e-08,0.94,0.46,0
0.047075,0.00068775,0.0089044,-3.9828e-05,0.0026594,0.00022194,0,0,0.073067,-0.03158,0,0.0051934,0,0,0,0.0089099,-4.5332e-05,0.0026594,1.4206,0.0038413,0.0079555,1.6144e-08,0.96,0.46,0
0.048537,0.00068889,0.0089008,-6.7071e-05,0.0026501,0.00011122,0,0,0.073133,-0.031791,0,0.0026025,0,0,0,0.0089022,-6.845e-05,0.0026501,0.71043,0.003828,0.0079671,1.6146e-08,0.98,0.46,0
0.05,0.00068947,0.0088996,-7.6091e-05,0.002647,1.2315e-06,0,0,0.073154,-0.031861,0,2.8817e-05,0,0,0,0.0088996,-7.6091e-05,0.002647,0.0078613,0.0038235,0.0079709,1.6147e-08,1,0.46,0
0,0,0.0073925,0.0031682,0.0031682,-0.00021439,0,0,0.049424,-2.1684e-19,0,-0.0050168,0,0,0,0.0074034,0.0031574,0.0031682,-2.898,0.0045763,0.0042406,3.9164e-09,0,0.48,0
0.00098848,-0.00010033,0.0073662,0.0028806,0.0030741,-0.00021658,0,0,0.050218,-0.002263,0,-0.005068,0,0,0,0.0073767,0.0028702,0.0030741,-2.7579,0.0044403,0.0044081,4.3674e-09,0.02,0.48,0
0.0020087,-0.00017933,0.0074612,0.0026599,0.0030364,-0.00020516,0,0,0.051771,-0.0044043,0,-0.0048007,0,0,0,0.00747,0.0026512,0.0030364,-2.4423,0.0043858,0.0046383,5.0059e-09,0.04,0.48,0
