"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.012409,0.0089908,0.024102,-0.00015504,0.0071842,3.2774e-05,0,0,0.043988,-0.019082,0,0.00017042,0,0,0,0.024103,-0.00015508,0.0071842,0.077411,0.010377,0.021547,3.2004e-07,0.22,0,0
0.012848,0.009146,0.024047,-0.00014897,0.0071695,2.5101e-05,0,0,0.043882,-0.019028,0,0.00013053,0,0,0,0.024047,-0.00014899,0.0071695,0.059438,0.010356,0.021493,3.1777e-07,0.23,0,0
0.013287,0.0092902,0.024009,-0.00014321,0.0071596,1.8131e-05,0,0,0.043807,-0.018987,0,9.4283e-05,0,0,0,0.024009,-0.00014322,0.0071596,0.043013,0.010342,0.021454,3.1616e-07,0.24,0,0
0.013724,0.0094237,0.023985,-0.00013772,0.0071542,1.1757e-05,0,0,0.04376,-0.018959,0,6.1139e-05,0,0,0,0.023985,-0.00013773,0.0071542,0.027926,0.010334,0.021428,3.1515e-07,0.25,0,0
0.014162,0.0095471,0.023975,-0.00013248,0.0071528,5.8902e-06,0,0,0.043738,-0.018942,0,3.0629e-05,0,0,0,0.023975,-0.00013248,0.0071528,0.013999,0.010332,0.021415,3.1469e-07,0.26,0,0
0.014599,0.0096607,0.023978,-0.00012745,0.0071552,4.5482e-07,0,0,0.043739,-0.018935,0,2.365e-06,0,0,0,0.023978,-0.00012745,0.0071552,0.001081,0.010335,0.021414,3.1473e-07,0.27,0,0
0.015037,0.0097649,0.023993,-0.0001226,0.0071611,-4.6118e-06,0,0,0.043763,-0.018937,0,-2.3981e-05,0,0,0,0.023993,-0.0001226,0.0071611,-0.010957,0.010344,0.021423,3.1525e-07,0.28,0,0
0.015474,0.0098601,0.024019,-0.00011791,0.0071703,-9.3626e-06,0,0,0.043806,-0.018949,0,-4.8685e-05,0,0,0,0.024019,-0.00011791,0.0071703,-0.022225,0.010357,0.021443,3.1621e-07,0.29,0,0
0.015913,0.0099467,0.024055,-0.00011334,0.0071826,-1.3842e-05,0,0,0.043869,-0.018969,0,-7.1977e-05,0,0,0,0.024055,-0.00011335,0.0071826,-0.032814,0.010375,0.021472,3.1759e-07,0.3,0,0
0.016352,0.010025,0.024102,-0.00010888,0.0071979,-1.8086e-05,0,0,0.04395,-0.018998,0,-9.4047e-05,0,0,0,0.024102,-0.00010889,0.0071979,-0.042801,0.010397,0.021509,3.1937e-07,0.31,0,0
0.016792,0.010095,0.024158,-0.00010451,0.007216,-2.2125e-05,0,0,0.044049,-0.019033,0,-0.00011505,0,0,0,0.024158,-0.00010453,0.007216,-0.052248,0.010423,0.021556,3.2154e-07,0.32,0,0
0.017233,0.010158,0.024223,-0.0001002,0.0072369,-2.5983e-05,0,0,0.044164,-0.019076,0,-0.00013511,0,0,0,0.024223,-0.00010023,0.0072369,-0.061205,0.010453,0.02161,3.2409e-07,0.33,0,0
0.017675,0.010213,0.024297,-9.5936e-05,0.0072604,-2.9678e-05,0,0,0.044296,-0.019126,0,-0.00015433,0,0,0,0.024297,-9.5972e-05,0.0072604,-0.069709,0.010487,0.021673,3.27e-07,0.34,0,0
0.018119,0.010261,0.02438,-9.1702e-05,0.0072864,-3.3224e-05,0,0,0.044442,-0.019183,0,-0.00017276,0,0,0,0.02438,-9.1747e-05,0.0072864,-0.077788,0.010525,0.021742,3.3027e-07,0.35,0,0
