"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.87167,-1.3433,-1.6645,3.5996e-17,0,0,1.0307,0.41753,0,9.3675e-17,0,0,0.88333,-2.1242e-15,0,0.88332,-0.87167,-1.3433,-1.6645,4.3727e-15,-1.2932,0.69072,0.0054432,0,0,0
0.020613,0,0.98233,-0.85266,-1.3033,-1.6291,0.00022169,0,0,1.0094,0.42359,0,0.00057641,0,0,0.88897,-0.0058403,0,0.88899,-0.85266,-1.3033,-1.6291,0.028189,-1.2617,0.67532,0.0043339,0.02,0,0
0.040376,0,0.96444,-0.86277,-1.2595,-1.6011,0.00083975,0,0,0.95984,0.44415,0,0.0021833,0,0,0.90529,-0.011088,0,0.90536,-0.86277,-1.2595,-1.6011,0.12129,-1.2411,0.64002,0.0017327,0.04,0,0
0.059007,0,0.94612,-0.88233,-1.1974,-1.57,0.0020386,0,0,0.89402,0.48444,0,0.0053004,0,0,0.93047,-0.015107,0,0.9306,-0.88231,-1.1974,-1.57,0.37072,-1.2166,0.59628,-0.0015714,0.06,0,0
0.076136,0,0.92722,-0.91257,-1.1115,-1.5345,0.003706,0,0,0.80844,0.54981,0,0.0096356,0,0,0.96161,-0.017323,0,0.96177,-0.9125,-1.1116,-1.5345,1.0668,-1.1862,0.55012,-0.0049295,0.08,0,0
0.091345,0,0.90766,-0.95239,-1.0009,-1.4936,0.0051782,0,0,0.70363,0.64058,0,0.013463,0,0,0.99511,-0.017472,0,0.99526,-0.95184,-1.0014,-1.4936,6.0271,-1.149,0.51878,-0.0069505,0.1,0,0
0.10428,0,0.88742,-0.9978,-0.87361,-1.4488,0.0057175,0,0,0.58636,0.7478,0,0.014865,0,0,1.0273,-0.015779,0,1.0275,-0.87335,-0.99806,-1.4488,87.37,-1.1067,0.52438,-0.0060172,0.12,0,0
0.1148,0,0.86656,-1.0429,-0.74583,-1.4032,0.0050012,0,0,0.46837,0.85456,0,0.013003,0,0,1.0555,-0.01289,0,1.0555,-0.74574,-1.043,-1.4032,89.036,-1.064,0.57023,-0.0015707,0.14,0,0
0.12302,0,0.8452,-1.0816,-0.63404,-1.3599,0.003593,0,0,0.36181,0.94359,0,0.0093419,0,0,1.0778,-0.009573,0,1.0779,-0.63401,-1.0816,-1.3599,89.54,-1.0252,0.6343,0.0051228,0.16,0,0
0.12927,0,0.82345,-1.1092,-0.54836,-1.3207,0.0022384,0,0,0.27494,1.0041,0,0.0058198,0,0,1.0939,-0.0063834,0,1.094,-0.54835,-1.1093,-1.3207,89.771,-0.99278,0.69134,0.01177,0.18,0,0
0.13401,0,0.80144,-1.124,-0.49161,-1.2861,0.0014311,0,0,0.21078,1.0329,0,0.003721,0,0,1.1041,-0.0035337,0,1.1041,-0.4916,-1.124,-1.2861,89.87,-0.96723,0.72713,0.016484,0.2,0,0
