"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.87932,-1.3677,-1.6741,5.8113e-17,0,0,1.0332,0.39831,0,1.5266e-16,0,0,0.8834,1.3054e-16,0,0.8834,-0.87932,-1.3677,-1.6741,6.8175e-15,-1.3071,0.6943,0.0066042,0,0,0
0.020665,0,0.98233,-0.86035,-1.3276,-1.6387,0.0002795,0,0,1.0119,0.40448,0,0.0007267,0,0,0.88887,-0.005659,0,0.88889,-0.86035,-1.3276,-1.6387,0.034275,-1.2755,0.67858,0.0054393,0.02,0,0
0.040475,0,0.96444,-0.87052,-1.2836,-1.6107,0.00093546,0,0,0.96222,0.42519,0,0.0024322,0,0,0.90471,-0.010756,0,0.90477,-0.87052,-1.2836,-1.6107,0.12975,-1.2549,0.64245,0.0027193,0.04,0,0
0.059153,0,0.94614,-0.88999,-1.2218,-1.5797,0.0021344,0,0,0.89659,0.46526,0,0.0055494,0,0,0.92918,-0.014681,0,0.9293,-0.88998,-1.2218,-1.5797,0.36857,-1.2305,0.59744,-0.00071635,0.06,0,0
0.076338,0,0.92728,-0.9198,-1.137,-1.5443,0.0037559,0,0,0.81189,0.52948,0,0.0097654,0,0,0.9595,-0.016881,0,0.95965,-0.91973,-1.1371,-1.5443,0.99022,-1.2004,0.54918,-0.0042358,0.08,0,0
0.091629,0,0.90776,-0.95874,-1.0288,-1.504,0.0051626,0,0,0.70888,0.61778,0,0.013423,0,0,0.99221,-0.017088,0,0.99236,-0.95836,-1.0292,-1.504,4.1911,-1.1639,0.51393,-0.0065273,0.1,0,0
0.10469,0,0.88759,-1.0029,-0.90511,-1.46,0.0056602,0,0,0.59421,0.72135,0,0.014717,0,0,1.0238,-0.015506,0,1.0239,-0.90478,-1.0032,-1.46,86.699,-1.1227,0.51312,-0.0060865,0.12,0,0
0.1154,0,0.86681,-1.0466,-0.78133,-1.4152,0.0049568,0,0,0.47913,0.82403,0,0.012888,0,0,1.0515,-0.012741,0,1.0516,-0.78124,-1.0467,-1.4152,88.93,-1.0811,0.55144,-0.0023844,0.14,0,0
0.12386,0,0.84553,-1.0841,-0.67307,-1.3727,0.0035945,0,0,0.37518,0.90948,0,0.0093457,0,0,1.0737,-0.0095253,0,1.0737,-0.67304,-1.0841,-1.3727,89.499,-1.0433,0.60898,0.0034523,0.16,0,0
0.1304,0,0.82386,-1.1109,-0.58982,-1.3341,0.0022808,0,0,0.29014,0.96754,0,0.0059301,0,0,1.0897,-0.006399,0,1.0897,-0.58981,-1.1109,-1.3341,89.749,-1.0116,0.66155,0.0093656,0.18,0,0
0.13546,0,0.80194,-1.1253,-0.53414,-1.2998,0.0014816,0,0,0.22683,0.99531,0,0.0038522,0,0,1.0999,-0.0035759,0,1.0999,-0.53414,-1.1253,-1.2998,89.856,-0.9864,0.69501,0.013648,0.2,0,0
0.13948,0,0.77987,-1.1274,-0.50457,-1.2694,0.0011006,0,0,0.18472,0.99434,0,0.0028614,0,0,1.1045,-0.00099024,0,1.1045,-0.50457,-1.1274,-1.2694,89.899,-0.96713,0.70466,0.015536,0.22,0,0
0.14285,0,0.75776,-1.1181,-0.49875,-1.2428,0.00076783,0,0,0.16214,0.96728,0,0.0019964,0,0,1.1039,0.001559,0,1.1039,-0.49875,-1.1181,-1.2428,89.929,-0.95321,0.6902,0.015045,0.24,0,0
0.14596,0,0.73571,-1.0985,-0.5146,-1.2196,0.00012961,0,0,0.15745,0.91657,0,0.00033698,0,0,1.098,0.0042685,0,1.098,-0.5146,-1.0985,-1.2196,89.987,-0.94426,0.65298,0.012657,0.26,0,0
0.14915,0,0.71384,-1.0702,-0.54968,-1.1998,-0.00090172,0,0,0.16851,0.84515,0,-0.0023445,0,0,1.0864,0.007196,0,1.0864,-0.54968,-1.0702,-1.1998,-89.901,-0.93988,0.59598,0.0091622,0.28,0,0
0.1527,0,0.69226,-1.0354,-0.59912,-1.1826,-0.0019806,0,0,0.19137,0.75854,0,-0.0051497,0,0,1.0693,0.010134,0,1.0693,-0.59911,-1.0354,-1.1826,-89.74,-0.93905,0.5256,0.0055324,0.3,0,0
0.15681,0,0.67107,-0.99783,-0.65429,-1.1667,-0.0026501,0,0,0.21953,0.66614,0,-0.0068903,0,0,1.0471,0.012581,0,1.0472,-0.65427,-0.99785,-1.1667,-89.558,-0.93961,0.4523,0.0026169,0.32,0,0
0.16148,0,0.65037,-0.96146,-0.70414,-1.1501,-0.0025979,0,0,0.24517,0.57969,0,-0.0067545,0,0,1.0215,0.013895,0,1.0216,-0.70411,-0.96149,-1.1501,-89.422,-0.93855,0.38772,0.00078858,0.34,0,0
0.16661,0,0.63021,-0.92973,-0.73981,-1.1311,-0.00207,0,0,0.26174,0.50864,0,-0.0053821,0,0,0.99511,0.013604,0,0.9952,-0.73979,-0.92975,-1.1311,-89.376,-0.93354,0.33891,-0.00010045,0.36,0,0
0.17195,0,0.61057,-0.90473,-0.7584,-1.1095,-0.0014319,0,0,0.26622,0.45644,0,-0.003723,0,0,0.9708,0.011662,0,0.97087,-0.75839,-0.90474,-1.1095,-89.439,-0.92421,0.30548,-0.00041484,0.38,0,0
0.17726,0,0.59138,-0.88689,-0.762,-1.086,-0.00092966,0,0,0.2589,0.42126,0,-0.0024171,0,0,0.95123,0.0084941,0,0.95127,-0.76199,-0.8869,-1.086,-89.573,-0.91165,0.28308,-0.00044781,0.4,0,0
0.18231,0,0.57252,-0.87561,-0.75416,-1.0615,-0.00046782,0,0,0.24159,0.39948,0,-0.0012163,0,0,0.93811,0.0047773,0,0.93812,-0.75415,-0.87562,-1.0615,-89.779,-0.89707,0.26806,-0.00034952,0.42,0,0
0.18692,0,0.55385,-0.87001,-0.73721,-1.036,9.7423e-05,0,0,0.21581,0.38845,0,0.0002533,0,0,0.93194,0.0011701,0,0.93193,-0.73721,-0.87001,-1.036,89.958,-0.88108,0.25931,-0.00017109,0.44,0,0
0.19094,0,0.53524,-0.86954,-0.71206,-1.0097,0.00083634,0,0,0.18223,0.38696,0,0.0021745,0,0,0.93218,-0.0018675,0,0.93218,-0.71206,-0.86955,-1.0097,89.696,-0.86378,0.25793,8.8612e-05,0.46,0,0
