"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.86177,-1.3067,-1.6505,-1.0408e-17,0,0,1.0254,0.44701,0,-2.7756e-17,0,0,0.88376,1.3852e-15,0,0.88376,-0.86177,-1.3067,-1.6505,-1.3404e-15,-1.273,0.68496,0.0036263,0,0,0
0.020508,0,0.98233,-0.84266,-1.2668,-1.6152,0.00013042,0,0,1.0043,0.45286,0,0.00033908,0,0,0.88965,-0.0061043,0,0.88967,-0.84266,-1.2668,-1.6152,0.017617,-1.2415,0.67008,0.0026109,0.02,0,0
0.04017,0,0.96441,-0.85259,-1.2233,-1.5872,0.00068636,0,0,0.95498,0.47302,0,0.0017845,0,0,0.90668,-0.011572,0,0.90675,-0.85259,-1.2233,-1.5872,0.10608,-1.221,0.63619,0.00021432,0.04,0,0
0.058707,0,0.94606,-0.87217,-1.1611,-1.556,0.0018798,0,0,0.88904,0.51339,0,0.0048874,0,0,0.9329,-0.015721,0,0.93303,-0.87216,-1.1611,-1.556,0.3727,-1.1965,0.59463,-0.0028545,0.06,0,0
0.075732,0,0.9271,-0.90293,-1.0739,-1.5201,0.0036122,0,0,0.80237,0.58016,0,0.0093918,0,0,0.96521,-0.017955,0,0.96537,-0.90285,-1.0739,-1.5201,1.2101,-1.1656,0.552,-0.0059235,0.08,0,0
0.090801,0,0.90745,-0.94391,-0.9599,-1.4786,0.005182,0,0,0.69509,0.6743,0,0.013473,0,0,0.9998,-0.018008,0,0.99997,-0.94238,-0.96143,-1.4786,16.474,-1.1275,0.52695,-0.0074818,0.1,0,0
0.10354,0,0.88711,-0.99102,-0.82754,-1.4327,0.0057859,0,0,0.57415,0.78668,0,0.015043,0,0,1.0329,-0.016146,0,1.033,-0.82733,-0.99123,-1.4327,87.976,-1.0837,0.5423,-0.0057393,0.12,0,0
0.11377,0,0.86613,-1.0381,-0.69396,-1.3857,0.0050542,0,0,0.45198,0.89931,0,0.013141,0,0,1.0616,-0.013072,0,1.0617,-0.69389,-1.0381,-1.3857,89.159,-1.0393,0.59916,-9.2644e-05,0.14,0,0
0.12162,0,0.84464,-1.0785,-0.57705,-1.3413,0.0035816,0,0,0.34166,0.99353,0,0.0093122,0,0,1.0842,-0.0096061,0,1.0842,-0.57702,-1.0785,-1.3413,89.591,-0.99894,0.67256,0.0079693,0.16,0,0
0.12743,0,0.82276,-1.1074,-0.48786,-1.3013,0.00217,0,0,0.25215,1.0575,0,0.005642,0,0,1.1003,-0.0063291,0,1.1004,-0.48785,-1.1074,-1.3013,89.799,-0.96552,0.73593,0.015777,0.18,0,0
0.1317,0,0.80063,-1.1226,-0.42957,-1.2663,0.0013554,0,0,0.18681,1.0877,0,0.003524,0,0,1.1103,-0.0034493,0,1.1103,-0.42957,-1.1226,-1.2663,89.888,-0.93947,0.77491,0.021156,0.2,0,0
0.13491,0,0.77835,-1.1241,-0.40062,-1.2358,0.0010221,0,0,0.14513,1.0857,0,0.0026573,0,0,1.1148,-0.00086438,0,1.1148,-0.40062,-1.1241,-1.2358,89.919,-0.92018,0.78532,0.023189,0.22,0,0
0.13751,0,0.75604,-1.1132,-0.39838,-1.2095,0.00073458,0,0,0.12525,1.0545,0,0.0019099,0,0,1.1139,0.0016743,0,1.1139,-0.39838,-1.1132,-1.2095,89.941,-0.90701,0.76749,0.02199,0.24,0,0
0.13992,0,0.73379,-1.0908,-0.42053,-1.1872,7.614e-05,0,0,0.12534,0.99665,0,0.00019797,0,0,1.1077,0.0044103,0,1.1077,-0.42053,-1.0908,-1.1872,89.993,-0.89949,0.72328,0.018274,0.26,0,0
0.14252,0,0.71173,-1.0587,-0.46423,-1.1686,-0.0010564,0,0,0.14291,0.91568,0,-0.0027467,0,0,1.0957,0.0074375,0,1.0957,-0.46423,-1.0587,-1.1686,-89.898,-0.89717,0.65635,0.01316,0.28,0,0
0.14563,0,0.68997,-1.0196,-0.5237,-1.153,-0.0022594,0,0,0.17332,0.81805,0,-0.0058744,0,0,1.0778,0.010557,0,1.0779,-0.52369,-1.0196,-1.153,-89.739,-0.89877,0.57435,0.0079914,0.3,0,0
0.14945,0,0.66862,-0.97778,-0.58872,-1.1386,-0.0030083,0,0,0.20902,0.71481,0,-0.0078216,0,0,1.0546,0.013235,0,1.0546,-0.58869,-0.97781,-1.1386,-89.557,-0.90169,0.4897,0.003913,0.32,0,0
0.15399,0,0.64778,-0.93763,-0.64642,-1.123,-0.0029641,0,0,0.24098,0.61955,0,-0.0077068,0,0,1.0275,0.014761,0,1.0276,-0.64639,-0.93766,-1.123,-89.417,-0.90235,0.41614,0.0013827,0.34,0,0
0.15909,0,0.62752,-0.90291,-0.68681,-1.1044,-0.002442,0,0,0.26198,0.54291,0,-0.0063493,0,0,0.99932,0.014588,0,0.99943,-0.68679,-0.90294,-1.1044,-89.353,-0.89806,0.36177,0.00014773,0.36,0,0
0.16447,0,0.60781,-0.87576,-0.7072,-1.0827,-0.0018724,0,0,0.26902,0.48815,0,-0.0048683,0,0,0.97315,0.012629,0,0.97323,-0.70718,-0.87578,-1.0827,-89.364,-0.88855,0.32577,-0.00031185,0.38,0,0
0.16985,0,0.58859,-0.85637,-0.71072,-1.0587,-0.0015087,0,0,0.26305,0.4524,0,-0.0039226,0,0,0.95185,0.0093217,0,0.9519,-0.7107,-0.85639,-1.0587,-89.407,-0.87527,0.30272,-0.00039524,0.4,0,0
0.17499,0,0.56974,-0.84383,-0.70195,-1.0335,-0.0011919,0,0,0.24653,0.43097,0,-0.003099,0,0,0.93731,0.0053936,0,0.93733,-0.70194,-0.84384,-1.0335,-89.519,-0.85975,0.2881,-0.00030242,0.42,0,0
0.17971,0,0.5511,-0.83707,-0.68375,-1.0073,-0.00071615,0,0,0.22135,0.42067,0,-0.001862,0,0,0.93012,0.0015661,0,0.93012,-0.68375,-0.83708,-1.0073,-89.732,-0.84272,0.28037,-0.00010249,0.44,0,0
0.18385,0,0.53253,-0.83554,-0.65703,-0.9803,1.5267e-05,0,0,0.18819,0.42026,0,3.9694e-05,0,0,0.92971,-0.0016529,0,0.92971,-0.65703,-0.83554,-0.9803,89.995,-0.82429,0.28047,0.00020357,0.46,0,0
0.18724,0,0.51391,-0.83898,-0.62187,-0.95217,0.00091285,0,0,0.14714,0.42938,0,0.0023734,0,0,0.93478,-0.0040082,0,0.93479,-0.62187,-0.83898,-0.95217,89.759,-0.80434,0.29073,0.00064797,0.48,0,0
0.18973,0,0.49514,-0.84696,-0.57886,-0.92289,0.0017904,0,0,0.098711,0.44723,0,0.0046549,0,0,0.94366,-0.0054516,0,0.94368,-0.57885,-0.84697,-0.92289,89.617,-0.7829,0.31306,0.0012688,0.5,0,0
0.19119,0,0.47616,-0.85851,-0.52978,-0.89265,0.002459,0,0,0.044386,0.47173,0,0.0063933,0,0,0.9547,-0.0060753,0,0.95472,-0.52976,-0.85853,-0.89265,89.571,-0.76031,0.34709,0.0020777,0.52,0,0
0.19151,0,0.45695,-0.87216,-0.47752,-0.86186,0.0028082,0,0,-0.013397,0.49964,0,0.0073013,0,0,0.96647,-0.0060549,0,0.96649,-0.4775,-0.87218,-0.86186,89.592,-0.73718,0.38962,0.0030306,0.54,0,0
0.19065,0,0.4375,-0.88619,-0.42549,-0.83101,0.0028379,0,0,-0.071741,0.52718,0,0.0073786,0,0,0.9779,-0.005597,0,0.97791,-0.42547,-0.88621,-0.83101,89.647,-0.71423,0.43577,0.0040211,0.56,0,0
0.18864,0,0.41784,-0.899,-0.37677,-0.80057,0.0026407,0,0,-0.12796,0.55093,0,0.0068658,0,0,0.98828,-0.0048956,0,0.98829,-0.37676,-0.89901,-0.80057,89.71,-0.69211,0.48065,0.0049064,0.58,0,0
0.18554,0,0.39797,-0.90938,-0.33356,-0.77086,0.0023456,0,0,-0.18009,0.56849,0,0.0060984,0,0,0.99725,-0.004102,0,0.99726,-0.33355,-0.90939,-0.77086,89.767,-0.67127,0.52059,0.0055532,0.6,0,0
0.18144,0,0.37795,-0.91672,-0.29694,-0.74204,0.0020646,0,0,-0.22708,0.57864,0,0.005368,0,0,1.0047,-0.0033144,0,1.0047,-0.29693,-0.91673,-0.74204,89.809,-0.6519,0.55353,0.0058756,0.62,0,0
0.17645,0,0.35779,-0.92089,-0.26708,-0.71418,0.0018622,0,0,-0.26873,0.58123,0,0.0048417,0,0,1.0106,-0.0025826,0,1.0106,-0.26707,-0.92089,-0.71418,89.837,-0.63405,0.57884,0.0058484,0.64,0,0
0.17069,0,0.33752,-0.92211,-0.24353,-0.68722,0.0017534,0,0,-0.30537,0.57679,0,0.0045589,0,0,1.0152,-0.0019204,0,1.0152,-0.24353,-0.92212,-0.68722,89.852,-0.61762,0.59688,0.0054967,0.66,0,0
0.16424,0,0.31718,-0.9208,-0.22555,-0.66108,0.0017182,0,0,-0.33763,0.5662,0,0.0044672,0,0,1.0184,-0.0013196,0,1.0184,-0.22554,-0.92081,-0.66108,89.858,-0.60248,0.6085,0.0048758,0.68,0,0
0.15718,0,0.29678,-0.91738,-0.21229,-0.63569,0.0017189,0,0,-0.36621,0.55041,0,0.0044691,0,0,1.0205,-0.0007605,0,1.0205,-0.21229,-0.91739,-0.63569,89.86,-0.58845,0.61473,0.0040522,0.7,0,0
0.14959,0,0.27636,-0.91222,-0.20296,-0.61091,0.0017144,0,0,-0.3917,0.53034,0,0.0044573,0,0,1.0215,-0.00021799,0,1.0215,-0.20296,-0.91222,-0.61091,89.862,-0.57537,0.61655,0.003092,0.72,0,0
0.14151,0,0.25592,-0.90559,-0.19685,-0.58666,0.0016684,0,0,-0.41462,0.50675,0,0.004338,0,0,1.0214,0.0003342,0,1.0214,-0.19684,-0.90559,-0.58666,89.865,-0.56303,0.61482,0.0020547,0.74,0,0
0.13301,0,0.2355,-0.89768,-0.1933,-0.5628,0.0015555,0,0,-0.43535,0.48034,0,0.0040444,0,0,1.0201,0.0009211,0,1.0201,-0.1933,-0.89769,-0.5628,89.874,-0.55126,0.61026,0.00099194,0.76,0,0
0.1241,0,0.21512,-0.88866,-0.1917,-0.53923,0.0013652,0,0,-0.45426,0.45178,0,0.0035496,0,0,1.0176,0.0015632,0,1.0176,-0.1917,-0.88866,-0.53923,89.888,-0.53986,0.60359,-5.3529e-05,0.78,0,0
0.11483,0,0.1948,-0.87871,-0.19137,-0.51582,0.0011063,0,0,-0.47175,0.42179,0,0.0028764,0,0,1.0137,0.0022708,0,1.0137,-0.19137,-0.87871,-0.51582,89.908,-0.52863,0.59557,-0.0010488,0.8,0,0
0.10523,0,0.17457,-0.86812,-0.19148,-0.49245,0.00080926,0,0,-0.48837,0.39126,0,0.0021041,0,0,1.0084,0.0030358,0,1.0084,-0.19148,-0.86812,-0.49245,89.931,-0.51735,0.58718,-0.0019735,0.82,0,0
0.095299,0,0.15446,-0.85733,-0.19099,-0.46896,0.00052251,0,0,-0.50488,0.36136,0,0.0013585,0,0,1.0015,0.003821,0,1.0015,-0.19099,-0.85733,-0.46896,89.955,-0.50576,0.5797,-0.0028237,0.84,0,0
0.085035,0,0.13451,-0.84689,-0.18867,-0.44518,0.00029956,0,0,-0.52223,0.33347,0,0.00077887,0,0,0.99323,0.0045519,0,0.99324,-0.18867,-0.84689,-0.44518,89.974,-0.49358,0.57465,-0.0036155,0.86,0,0
0.07441,0,0.11474,-0.83742,-0.1832,-0.42092,0.00017682,0,0,-0.54145,0.30904,0,0.00045974,0,0,0.98372,0.0051163,0,0.98373,-0.1832,-0.83742,-0.42092,89.984,-0.48052,0.57358,-0.0043846,0.88,0,0
0.063377,0,0.09516,-0.82944,-0.17352,-0.39605,0.0001542,0,0,-0.56341,0.28929,0,0.00040092,0,0,0.97347,0.0053799,0,0.97348,-0.17352,-0.82944,-0.39605,89.987,-0.46634,0.57774,-0.0051816,0.9,0,0
0.051874,0,0.075796,-0.82323,-0.15911,-0.3705,0.00019009,0,0,-0.58856,0.27481,0,0.00049425,0,0,0.96318,0.0052171,0,0.96319,-0.15911,-0.82323,-0.3705,89.984,-0.45095,0.58767,-0.0060604,0.92,0,0
0.039835,0,0.056633,-0.81879,-0.1402,-0.34433,0.00022233,0,0,-0.61679,0.26537,0,0.00057806,0,0,0.95375,0.0045495,0,0.95376,-0.1402,-0.81879,-0.34433,89.981,-0.43444,0.60302,-0.0070657,0.94,0,0
0.027202,0,0.037646,-0.81581,-0.11771,-0.3177,0.000201,0,0,-0.64754,0.25999,0,0.0005226,0,0,0.94612,0.0033792,0,0.94613,-0.11771,-0.81581,-0.3177,89.984,-0.41707,0.62268,-0.0082246,0.96,0,0
0.013933,0,0.018788,-0.8139,-0.092768,-0.29079,0.00011608,0,0,-0.68004,0.25743,0,0.00030179,0,0,0.94115,0.001803,0,0.94115,-0.092768,-0.8139,-0.29079,89.991,-0.39915,0.64533,-0.0095476,0.98,0,0
