"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.86605,-1.3234,-1.6568,4.3368e-18,0,0,1.028,0.4335,0,1.0408e-17,0,0,0.88348,1.4684e-15,0,0.88348,-0.86605,-1.3234,-1.6568,5.4335e-16,-1.2821,0.68763,0.0044628,0,0,0
0.02056,0,0.98233,-0.84698,-1.2834,-1.6215,0.00017251,0,0,1.0068,0.43945,0,0.00044852,0,0,0.88926,-0.0059854,0,0.88928,-0.84698,-1.2834,-1.6215,0.022648,-1.2506,0.67251,0.0034033,0.02,0,0
0.040272,0,0.96443,-0.85701,-1.2397,-1.5935,0.0007574,0,0,0.95738,0.45982,0,0.0019692,0,0,0.90597,-0.011354,0,0.90604,-0.85701,-1.2397,-1.5935,0.11338,-1.2301,0.63795,0.00090977,0.04,0,0
0.058855,0,0.94609,-0.8766,-1.1776,-1.5623,0.0019541,0,0,0.89147,0.50019,0,0.0050805,0,0,0.93173,-0.015445,0,0.93185,-0.87658,-1.1776,-1.5623,0.37195,-1.2055,0.59536,-0.0022716,0.06,0,0
0.075931,0,0.92716,-0.90714,-1.0909,-1.5266,0.0036575,0,0,0.80526,0.56637,0,0.0095094,0,0,0.96351,-0.017673,0,0.96367,-0.90707,-1.091,-1.5266,1.1398,-1.1749,0.55107,-0.005479,0.08,0,0
0.091066,0,0.90755,-0.94761,-0.97841,-1.4854,0.005183,0,0,0.69907,0.65903,0,0.013476,0,0,0.99762,-0.01777,0,0.99777,-0.94676,-0.97926,-1.4854,9.3017,-1.1371,0.5231,-0.0072561,0.1,0,0
0.10389,0,0.88726,-0.99397,-0.84832,-1.4399,0.0057572,0,0,0.57976,0.76911,0,0.014969,0,0,1.0303,-0.015985,0,1.0305,-0.84809,-0.9942,-1.4399,87.74,-1.0941,0.534,-0.0058918,0.12,0,0
0.11426,0,0.86634,-1.0401,-0.71734,-1.3936,0.0050319,0,0,0.45946,0.87912,0,0.013083,0,0,1.0588,-0.012996,0,1.0589,-0.71726,-1.0402,-1.3936,89.107,-1.0504,0.58591,-0.00080283,0.14,0,0
0.12227,0,0.8449,-1.0798,-0.60273,-1.3497,0.0035879,0,0,0.35083,0.97101,0,0.0093286,0,0,1.0813,-0.0095965,0,1.0813,-0.6027,-1.0798,-1.3497,89.569,-1.0107,0.65514,0.0066251,0.16,0,0
0.12829,0,0.82308,-1.1081,-0.51511,-1.3101,0.0022015,0,0,0.2625,1.0334,0,0.005724,0,0,1.0974,-0.0063582,0,1.0975,-0.51511,-1.1081,-1.3101,89.787,-0.97777,0.71569,0.013897,0.18,0,0
