"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.97631,-1.5723,-1.7646,-1.2577e-17,0,0,1.0248,0.24994,0,-2.7756e-17,0,0,0.8973,2.0526e-15,0,0.8973,-0.97631,-1.5723,-1.7646,-1.209e-15,-1.4378,0.7119,0.014074,0,0,0
0.020495,0,0.98205,-0.95675,-1.5319,-1.7286,0.00059484,0,0,1.0035,0.25579,0,0.0015466,0,0,0.90119,-0.0039994,0,0.90119,-0.95675,-1.5319,-1.7286,0.059259,-1.4058,0.69474,0.012679,0.02,0,0
0.040139,0,0.96395,-0.96581,-1.4895,-1.7005,0.0014015,0,0,0.95515,0.27438,0,0.003644,0,0,0.91251,-0.0076704,0,0.91254,-0.96581,-1.4895,-1.7005,0.15334,-1.3853,0.65521,0.0095548,0.04,0,0
0.058701,0,0.94555,-0.98207,-1.4337,-1.6703,0.0024613,0,0,0.89468,0.30757,0,0.0063994,0,0,0.93021,-0.010631,0,0.93027,-0.98205,-1.4337,-1.6703,0.31224,-1.362,0.60565,0.0058223,0.06,0,0
0.075926,0,0.92674,-1.0054,-1.3631,-1.6373,0.0036276,0,0,0.82151,0.35641,0,0.0094316,0,0,0.95252,-0.012494,0,0.9526,-1.0053,-1.3632,-1.6373,0.58087,-1.3353,0.5489,0.001928,0.08,0,0
0.091562,0,0.90745,-1.0342,-1.2794,-1.6015,0.0044941,0,0,0.73756,0.41878,0,0.011685,0,0,0.97715,-0.013015,0,0.97724,-1.0341,-1.2795,-1.6015,1.0496,-1.305,0.49291,-0.0014236,0.1,0,0
0.10543,0,0.88766,-1.0655,-1.1886,-1.5639,0.0047035,0,0,0.64789,0.48788,0,0.012229,0,0,1.0016,-0.012233,0,1.0017,-1.0653,-1.1888,-1.5639,2.1852,-1.2727,0.44973,-0.0035121,0.12,0,0
0.11748,0,0.86739,-1.0957,-1.1001,-1.5261,0.0041695,0,0,0.55956,0.55383,0,0.010841,0,0,1.0238,-0.010471,0,1.0239,-1.0932,-1.1026,-1.5261,31.061,-1.2407,0.4283,-0.0040287,0.14,0,0
0.12781,0,0.84671,-1.1212,-1.0224,-1.4898,0.0032473,0,0,0.47914,0.60759,0,0.0084429,0,0,1.0423,-0.0081857,0,1.0423,-1.0223,-1.1213,-1.4898,88.12,-1.2112,0.42668,-0.0032767,0.16,0,0
0.13664,0,0.8257,-1.1397,-0.96027,-1.4557,0.002341,0,0,0.41076,0.64406,0,0.0060867,0,0,1.0562,-0.0057613,0,1.0562,-0.96024,-1.1398,-1.4557,89.253,-1.1852,0.43447,-0.0019187,0.18,0,0
0.14424,0,0.80446,-1.1503,-0.91461,-1.4239,0.001701,0,0,0.35575,0.66211,0,0.0044227,0,0,1.0654,-0.0033999,0,1.0654,-0.9146,-1.1503,-1.4239,89.587,-1.1629,0.4415,-0.0005685,0.2,0,0
0.15087,0,0.78308,-1.153,-0.88439,-1.3943,0.001279,0,0,0.31364,0.6629,0,0.0033253,0,0,1.07,-0.0011241,0,1.07,-0.88438,-1.1531,-1.3943,89.727,-1.1439,0.44183,0.00041189,0.22,0,0
0.15679,0,0.76166,-1.1487,-0.86819,-1.3667,0.00088924,0,0,0.28344,0.64809,0,0.002312,0,0,1.0699,0.0011388,0,1.0699,-0.86819,-1.1487,-1.3667,89.818,-1.1279,0.43287,0.00089559,0.24,0,0
0.16221,0,0.74028,-1.1378,-0.86487,-1.3411,0.00035643,0,0,0.26425,0.61909,0,0.00092671,0,0,1.0653,0.0034595,0,1.0653,-0.86487,-1.1378,-1.3411,89.925,-1.1146,0.41389,0.00091084,0.26,0,0
0.16736,0,0.71905,-1.1212,-0.87321,-1.3174,-0.00036047,0,0,0.255,0.57742,0,-0.00093721,0,0,1.0561,0.0058107,0,1.0561,-0.87321,-1.1212,-1.3174,-89.917,-1.1039,0.38553,0.00059035,0.28,0,0
0.17241,0,0.69804,-1.1002,-0.8909,-1.2954,-0.001075,0,0,0.2537,0.52582,0,-0.0027949,0,0,1.0425,0.0079913,0,1.0426,-0.89089,-1.1002,-1.2954,-89.706,-1.0955,0.35037,0.00013414,0.3,0,0
0.1775,0,0.67734,-1.0768,-0.91368,-1.2745,-0.001525,0,0,0.25698,0.46906,0,-0.0039649,0,0,1.0254,0.0096331,0,1.0254,-0.91367,-1.0768,-1.2745,-89.465,-1.0883,0.31296,-0.00025919,0.32,0,0
0.18269,0,0.65702,-1.0535,-0.93576,-1.2538,-0.0014908,0,0,0.26043,0.41344,0,-0.0038761,0,0,1.0062,0.010321,0,1.0062,-0.93574,-1.0535,-1.2538,-89.274,-1.081,0.27852,-0.00047901,0.34,0,0
0.18792,0,0.6371,-1.0325,-0.95179,-1.2324,-0.0010462,0,0,0.25988,0.36476,0,-0.0027202,0,0,0.98682,0.0098035,0,0.98687,-0.95177,-1.0325,-1.2324,-89.257,-1.0722,0.25021,-0.00053139,0.36,0,0
0.19309,0,0.61755,-1.0156,-0.95893,-1.2099,-0.00037402,0,0,0.25263,0.32626,0,-0.00097245,0,0,0.96954,0.0081319,0,0.96957,-0.95893,-1.0156,-1.2099,-89.622,-1.0615,0.22799,-0.00048436,0.38,0,0
0.19803,0,0.59832,-1.0036,-0.95698,-1.1865,0.00032707,0,0,0.23776,0.29836,0,0.00085039,0,0,0.95613,0.005654,0,0.95614,-0.95698,-1.0036,-1.1865,89.598,-1.049,0.21012,-0.00039852,0.4,0,0
0.20259,0,0.57931,-0.99659,-0.947,-1.1624,0.0010112,0,0,0.21553,0.27999,0,0.0026291,0,0,0.94769,0.0028514,0,0.9477,-0.94698,-0.99662,-1.1624,88.832,-1.0353,0.19537,-0.0003013,0.42,0,0
0.20665,0,0.56041,-0.99417,-0.93013,-1.1377,0.0016745,0,0,0.18659,0.26983,0,0.0043536,0,0,0.9445,0.00016459,0,0.9445,-0.93009,-0.99421,-1.1377,88.503,-1.0207,0.18412,-0.00019446,0.44,0,0
0.21006,0,0.54153,-0.9958,-0.90717,-1.1124,0.0023222,0,0,0.1516,0.26682,0,0.0060378,0,0,0.94612,-0.0021074,0,0.94612,-0.90711,-0.99587,-1.1124,88.5,-1.0051,0.17835,-6.7563e-05,0.46,0,0
0.21271,0,0.52256,-1.001,-0.87875,-1.0865,0.0029152,0,0,0.11118,0.27004,0,0.0075795,0,0,0.95165,-0.0038132,0,0.95165,-0.87869,-1.001,-1.0865,88.634,-0.98873,0.1809,9.1684e-05,0.48,0,0
0.21451,0,0.50346,-1.0089,-0.84572,-1.0599,0.0033917,0,0,0.066191,0.27838,0,0.0088185,0,0,0.95999,-0.004916,0,0.96,-0.84565,-1.009,-1.0599,88.81,-0.97151,0.19385,0.00028918,0.5,0,0
0.21536,0,0.48417,-1.0189,-0.80928,-1.0326,0.003692,0,0,0.017799,0.29035,0,0.0095991,0,0,0.97002,-0.0054581,0,0.97003,-0.80922,-1.019,-1.0326,88.992,-0.95362,0.21692,0.00051728,0.52,0,0
0.21522,0,0.46466,-1.03,-0.77103,-1.005,0.0037873,0,0,-0.032521,0.30411,0,0.009847,0,0,0.98074,-0.0055334,0,0.98076,-0.77097,-1.03,-1.005,89.162,-0.93532,0.24748,0.00075158,0.54,0,0
0.21406,0,0.44494,-1.0411,-0.73264,-0.97704,0.0036925,0,0,-0.083206,0.31772,0,0.0096005,0,0,0.99134,-0.0052619,0,0.99136,-0.7326,-1.0411,-0.97704,89.314,-0.91691,0.28198,0.00095426,0.56,0,0
0.21189,0,0.42501,-1.0513,-0.69562,-0.94908,0.0034585,0,0,-0.13286,0.32949,0,0.008992,0,0,1.0012,-0.0047646,0,1.0013,-0.69559,-1.0513,-0.94908,89.443,-0.89866,0.31721,0.0010836,0.58,0,0
0.20875,0,0.40489,-1.06,-0.66103,-0.9212,0.0031495,0,0,-0.18046,0.33822,0,0.0081887,0,0,1.0101,-0.0041449,0,1.0101,-0.661,-1.06,-0.9212,89.548,-0.88075,0.35086,0.001105,0.6,0,0
0.20467,0,0.3846,-1.0669,-0.62943,-0.89349,0.0028215,0,0,-0.22539,0.34328,0,0.0073359,0,0,1.0177,-0.0034778,0,1.0177,-0.62941,-1.0669,-0.89349,89.63,-0.86326,0.38157,0.00099803,0.62,0,0
0.19973,0,0.36418,-1.0717,-0.60097,-0.86599,0.0025091,0,0,-0.26747,0.34453,0,0.0065237,0,0,1.024,-0.0028091,0,1.024,-0.60095,-1.0717,-0.86599,89.695,-0.84623,0.40879,0.00075778,0.64,0,0
0.19397,0,0.34364,-1.0746,-0.5755,-0.83868,0.002225,0,0,-0.30675,0.34214,0,0.0057851,0,0,1.029,-0.0021605,0,1.029,-0.57549,-1.0747,-0.83868,89.745,-0.82961,0.4325,0.00039179,0.66,0,0
0.18746,0,0.32302,-1.0758,-0.55272,-0.81156,0.0019655,0,0,-0.34346,0.33649,0,0.0051104,0,0,1.0327,-0.0015364,0,1.0327,-0.55272,-1.0758,-0.81156,89.785,-0.81335,0.45299,-8.4731e-05,0.68,0,0
0.18024,0,0.30233,-1.0753,-0.53225,-0.78459,0.0017186,0,0,-0.3779,0.32804,0,0.0044684,0,0,1.0352,-0.00093116,0,1.0352,-0.53224,-1.0753,-0.78459,89.819,-0.79737,0.47068,-0.00065304,0.7,0,0
0.17234,0,0.28161,-1.0734,-0.51368,-0.75773,0.0014701,0,0,-0.41035,0.31727,0,0.0038223,0,0,1.0364,-0.00033326,0,1.0364,-0.51367,-1.0734,-0.75773,89.85,-0.7816,0.48605,-0.0012938,0.72,0,0
0.16382,0,0.26088,-1.0702,-0.49661,-0.73093,0.0012087,0,0,-0.44111,0.30462,0,0.0031426,0,0,1.0365,0.00027039,0,1.0365,-0.49661,-1.0702,-0.73093,89.879,-0.76593,0.49955,-0.0019888,0.74,0,0
0.1547,0,0.24015,-1.066,-0.48064,-0.70415,0.00092874,0,0,-0.47044,0.29057,0,0.0024147,0,0,1.0353,0.00089162,0,1.0353,-0.48063,-1.066,-0.70415,89.909,-0.75027,0.51167,-0.0027227,0.76,0,0
0.145,0,0.21946,-1.0609,-0.46533,-0.67734,0.00063307,0,0,-0.49866,0.27561,0,0.001646,0,0,1.0329,0.0015375,0,1.0329,-0.46533,-1.0609,-0.67734,89.939,-0.73453,0.52288,-0.0034842,0.78,0,0
0.13475,0,0.19884,-1.0551,-0.45021,-0.65043,0.00033445,0,0,-0.5261,0.26029,0,0.00086956,0,0,1.0291,0.0022056,0,1.0291,-0.45021,-1.0551,-0.65043,89.968,-0.71859,0.53375,-0.0042681,0.8,0,0
0.12396,0,0.1783,-1.0489,-0.43473,-0.62339,5.5392e-05,0,0,-0.55319,0.24527,0,0.00014402,0,0,1.024,0.0028786,0,1.0241,-0.43473,-1.0489,-0.62339,89.995,-0.70235,0.54494,-0.0050777,0.82,0,0
0.11263,0,0.15787,-1.0427,-0.41827,-0.59615,-0.00017583,0,0,-0.58046,0.23125,0,-0.00045715,0,0,1.0177,0.0035183,0,1.0177,-0.41827,-1.0427,-0.59615,-89.984,-0.6857,0.55717,-0.0059268,0.84,0,0
0.10074,0,0.13759,-1.0367,-0.40019,-0.56866,-0.00033319,0,0,-0.60846,0.21901,0,-0.0008663,0,0,1.0102,0.0040629,0,1.0102,-0.40019,-1.0367,-0.56866,-89.97,-0.66852,0.57122,-0.0068404,0.86,0,0
0.088286,0,0.11746,-1.0314,-0.37996,-0.54087,-0.00040387,0,0,-0.63768,0.20919,0,-0.0010501,0,0,1.0019,0.0044301,0,1.0019,-0.37996,-1.0314,-0.54087,-89.965,-0.65074,0.58774,-0.0078523,0.88,0,0
0.075233,0,0.097515,-1.027,-0.35728,-0.5128,-0.00039498,0,0,-0.66846,0.20217,0,-0.0010269,0,0,0.9931,0.0045308,0,0.99311,-0.35728,-1.027,-0.5128,-89.966,-0.63236,0.60709,-0.0089992,0.9,0,0
0.061548,0,0.077741,-1.0236,-0.33223,-0.48449,-0.00033216,0,0,-0.70083,0.19793,0,-0.00086361,0,0,0.98452,0.0042898,0,0.98453,-0.33223,-1.0236,-0.48449,-89.972,-0.61344,0.6292,-0.010312,0.92,0,0
0.0472,0,0.058133,-1.0211,-0.30533,-0.45606,-0.00024684,0,0,-0.73454,0.19595,0,-0.00064179,0,0,0.97681,0.0036694,0,0.97682,-0.30533,-1.0211,-0.45606,-89.98,-0.59416,0.65357,-0.011808,0.94,0,0
0.032166,0,0.038668,-1.0193,-0.27733,-0.42766,-0.00016196,0,0,-0.76914,0.19543,0,-0.0004211,0,0,0.97067,0.0026875,0,0.97067,-0.27733,-1.0193,-0.42766,-89.987,-0.57476,0.67941,-0.013487,0.96,0,0
