"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-1.2995,-1.9855,-1.9855,-6.0014e-18,0,0,0.8918,3.5025e-17,0,-1.5604e-17,0,0,1,0,0,1,-1.2995,-1.9855,-1.9855,-5.0124e-16,-1.7568,0.686,0.016581,0,0,0
0.017836,0,0.98,-1.274,-1.946,-1.946,6.5239e-17,0,0,0.8736,-3.6325e-17,0,1.6962e-16,0,0,1,5.5033e-15,0,1,-1.274,-1.946,-1.946,5.5623e-15,-1.722,0.672,0.015586,0.02,0,0
0.034944,0,0.96,-1.273,-1.917,-1.917,1.4726e-16,0,0,0.8372,-3.5706e-16,0,3.8287e-16,0,0,1,-3.7269e-15,0,1,-1.273,-1.917,-1.917,1.3101e-14,-1.7023,0.644,0.013718,0.04,0,0
0.051324,0,0.94,-1.272,-1.888,-1.888,-2.4951e-16,0,0,0.8008,-1.1103e-16,0,-6.4873e-16,0,0,1,5.4395e-15,0,1,-1.272,-1.888,-1.888,-2.3208e-14,-1.6827,0.616,0.012005,0.06,0,0
0.066976,0,0.92,-1.271,-1.859,-1.859,4.552e-16,0,0,0.7644,1.0984e-15,0,1.1835e-15,0,0,1,-4.1391e-15,0,1,-1.271,-1.859,-1.859,4.4356e-14,-1.663,0.588,0.010441,0.08,0,0
0.0819,0,0.9,-1.27,-1.83,-1.83,4.6889e-17,0,0,0.728,-3.6048e-16,0,1.2191e-16,0,0,1,3.251e-15,0,1,-1.27,-1.83,-1.83,4.7974e-15,-1.6433,0.56,0.0090197,0.1,0,0
0.096096,0,0.88,-1.269,-1.801,-1.801,-3.1259e-17,0,0,0.6916,-4.3359e-16,0,-8.1274e-17,0,0,1,0,0,1,-1.269,-1.801,-1.801,-3.3666e-15,-1.6237,0.532,0.0077332,0.12,0,0
0.10956,0,0.86,-1.268,-1.772,-1.772,-8.3759e-18,0,0,0.6552,-5.0251e-16,0,-2.1777e-17,0,0,1,6.6294e-15,0,1,-1.268,-1.772,-1.772,-9.5219e-16,-1.604,0.504,0.0065753,0.14,0,0
0.1223,0,0.84,-1.267,-1.743,-1.743,-1.5936e-16,0,0,0.6188,1.755e-15,0,-4.1434e-16,0,0,1,-4.6789e-15,0,1,-1.267,-1.743,-1.743,-1.9182e-14,-1.5843,0.476,0.0055392,0.16,0,0
0.13432,0,0.82,-1.266,-1.714,-1.714,3.698e-16,0,0,0.5824,-7.0465e-16,0,9.6148e-16,0,0,1,6.5019e-16,0,1,-1.266,-1.714,-1.714,4.7295e-14,-1.5647,0.448,0.0046181,0.18,0,0
0.1456,0,0.8,-1.265,-1.685,-1.685,6.865e-17,0,0,0.546,-8.1986e-16,0,1.7849e-16,0,0,1,-8.8818e-16,0,1,-1.265,-1.685,-1.685,9.3651e-15,-1.545,0.42,0.0038052,0.2,0,0
0.15616,0,0.78,-1.264,-1.656,-1.656,6.2518e-17,0,0,0.5096,1.3833e-15,0,1.6255e-16,0,0,1,-8.4058e-15,0,1,-1.264,-1.656,-1.656,9.1379e-15,-1.5253,0.392,0.0030937,0.22,0,0
0.16598,0,0.76,-1.263,-1.627,-1.627,-4.2701e-16,0,0,0.4732,-8.9413e-16,0,-1.1102e-15,0,0,1,4.4409e-15,0,1,-1.263,-1.627,-1.627,-6.7214e-14,-1.5057,0.364,0.002477,0.24,0,0
0.17508,0,0.74,-1.262,-1.598,-1.598,-1.0829e-16,0,0,0.4368,-6.7332e-16,0,-2.8154e-16,0,0,1,0,0,1,-1.262,-1.598,-1.598,-1.8465e-14,-1.486,0.336,0.0019482,0.26,0,0
0.18346,0,0.72,-1.261,-1.569,-1.569,-4.6051e-16,0,0,0.4004,-1.7857e-15,0,-1.1973e-15,0,0,1,3.3147e-15,0,1,-1.261,-1.569,-1.569,-8.5667e-14,-1.4663,0.308,0.0015006,0.28,0,0
0.1911,0,0.7,-1.26,-1.54,-1.54,-3.1872e-16,0,0,0.364,1.73e-15,0,-8.2868e-16,0,0,1,-8.8818e-16,0,1,-1.26,-1.54,-1.54,-6.522e-14,-1.4467,0.28,0.0011275,0.3,0,0
0.19802,0,0.68,-1.259,-1.511,-1.511,6.2518e-17,0,0,0.3276,1.0145e-15,0,1.6255e-16,0,0,1,0,0,1,-1.259,-1.511,-1.511,1.4215e-14,-1.427,0.252,0.00082192,0.32,0,0
0.2042,0,0.66,-1.258,-1.482,-1.482,7.927e-17,0,0,0.2912,1.4307e-15,0,2.061e-16,0,0,1,-2.4265e-15,0,1,-1.258,-1.482,-1.482,2.0276e-14,-1.4073,0.224,0.00057726,0.34,0,0
0.20966,0,0.64,-1.257,-1.453,-1.453,-2.9584e-16,0,0,0.2548,-1.4209e-15,0,-7.6918e-16,0,0,1,-2.4265e-15,0,1,-1.257,-1.453,-1.453,-8.6482e-14,-1.3877,0.196,0.00038672,0.36,0,0
0.2144,0,0.62,-1.256,-1.424,-1.424,6.2518e-17,0,0,0.2184,-1.1793e-15,0,1.6255e-16,0,0,1,0,0,1,-1.256,-1.424,-1.424,2.1322e-14,-1.368,0.168,0.00024353,0.38,0,0
0.2184,0,0.6,-1.255,-1.395,-1.395,-1.8755e-16,0,0,0.182,-1.7028e-15,0,-4.8764e-16,0,0,1,1.3004e-15,0,1,-1.255,-1.395,-1.395,-7.6758e-14,-1.3483,0.14,0.00014093,0.4,0,0
0.22168,0,0.58,-1.254,-1.366,-1.366,4.5767e-17,0,0,0.1456,1.3571e-15,0,1.1899e-16,0,0,1,-6.9546e-15,0,1,-1.254,-1.366,-1.366,2.3413e-14,-1.3287,0.112,7.2157e-05,0.42,0,0
