"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.89013,-1.3983,-1.6865,-3.5562e-17,0,0,1.0353,0.37467,0,-9.541e-17,0,0,0.88394,2.1402e-15,0,0.88394,-0.89013,-1.3983,-1.6865,-4.0094e-15,-1.325,0.69842,0.0079937,0,0,0
0.020707,0,0.98232,-0.87118,-1.3581,-1.6511,0.00034753,0,0,1.0139,0.38093,0,0.00090356,0,0,0.88919,-0.0054259,0,0.88921,-0.87118,-1.3581,-1.6511,0.040895,-1.2934,0.68235,0.0067672,0.02,0,0
0.040556,0,0.96443,-0.88138,-1.3141,-1.6231,0.0010463,0,0,0.96419,0.40171,0,0.0027203,0,0,0.9044,-0.010327,0,0.90446,-0.88137,-1.3141,-1.6231,0.13855,-1.2728,0.64529,0.0039192,0.04,0,0
0.059274,0,0.94615,-0.90064,-1.2527,-1.5921,0.0022408,0,0,0.89894,0.44132,0,0.005826,0,0,0.92795,-0.014128,0,0.92806,-0.90063,-1.2527,-1.5921,0.36469,-1.2485,0.5989,0.00034785,0.06,0,0
0.076514,0,0.92731,-0.92979,-1.1695,-1.5571,0.0038019,0,0,0.81551,0.50386,0,0.009885,0,0,0.9572,-0.0163,0,0.95734,-0.92973,-1.1696,-1.5571,0.90834,-1.2188,0.54832,-0.0033376,0.08,0,0
0.091895,0,0.90786,-0.96753,-1.0645,-1.5175,0.0051261,0,0,0.71493,0.58883,0,0.013328,0,0,0.98887,-0.016577,0,0.98901,-0.96726,-1.0648,-1.5175,3.0165,-1.1832,0.50851,-0.0059245,0.1,0,0
0.10511,0,0.88776,-1.01,-0.94548,-1.4744,0.0055734,0,0,0.60369,0.68762,0,0.014491,0,0,1.0196,-0.01513,0,1.0197,-0.945,-1.0105,-1.4744,85.102,-1.1433,0.49989,-0.0060456,0.12,0,0
0.11604,0,0.86707,-1.0519,-0.82686,-1.4307,0.0048888,0,0,0.49239,0.78502,0,0.012711,0,0,1.0467,-0.012519,0,1.0468,-0.82675,-1.0521,-1.4307,88.756,-1.1032,0.52864,-0.0032089,0.14,0,0
0.12481,0,0.84589,-1.0878,-0.72312,-1.3892,0.0035869,0,0,0.39181,0.86584,0,0.0093259,0,0,1.0685,-0.0094344,0,1.0686,-0.72309,-1.0878,-1.3892,89.436,-1.0667,0.5777,0.0016223,0.16,0,0
0.13171,0,0.82433,-1.1135,-0.64297,-1.3513,0.0023276,0,0,0.30914,0.92078,0,0.0060518,0,0,1.0845,-0.0063935,0,1.0845,-0.64296,-1.1135,-1.3513,89.717,-1.0359,0.62435,0.0066653,0.18,0,0
0.13717,0,0.80251,-1.1274,-0.58872,-1.3174,0.0015421,0,0,0.24693,0.94722,0,0.0040094,0,0,1.0946,-0.0036116,0,1.0946,-0.58871,-1.1274,-1.3174,89.836,-1.0111,0.65467,0.010426,0.2,0,0
0.14159,0,0.78055,-1.1297,-0.55892,-1.2871,0.0011427,0,0,0.20468,0.94667,0,0.0029709,0,0,1.0994,-0.0010401,0,1.0994,-0.55892,-1.1297,-1.2871,89.885,-0.99191,0.66365,0.012211,0.22,0,0
0.14536,0,0.75854,-1.1213,-0.55136,-1.2603,0.00079109,0,0,0.1808,0.92165,0,0.0020568,0,0,1.0989,0.0014996,0,1.0989,-0.55136,-1.1213,-1.2603,89.921,-0.97764,0.65067,0.011998,0.24,0,0
0.14882,0,0.73659,-1.1031,-0.56411,-1.2368,0.00016386,0,0,0.17375,0.87444,0,0.00042605,0,0,1.0931,0.0041816,0,1.0931,-0.56411,-1.1031,-1.2368,89.983,-0.96799,0.61678,0.010169,0.26,0,0
0.15231,0,0.71482,-1.0766,-0.59493,-1.2163,-0.00081889,0,0,0.18157,0.80775,0,-0.0021291,0,0,1.0818,0.0070474,0,1.0818,-0.59493,-1.0766,-1.2163,-89.903,-0.96261,0.56462,0.0073724,0.28,0,0
0.15609,0,0.69332,-1.044,-0.63939,-1.1983,-0.001839,0,0,0.20065,0.72663,0,-0.0047815,0,0,1.065,0.0098862,0,1.0651,-0.63938,-1.044,-1.1983,-89.74,-0.96057,0.49998,0.0044176,0.3,0,0
0.16034,0,0.67221,-1.0086,-0.68958,-1.1817,-0.0024718,0,0,0.22501,0.63971,0,-0.0064266,0,0,1.0435,0.012216,0,1.0435,-0.68956,-1.0086,-1.1817,-89.556,-0.95994,0.43238,0.0020226,0.32,0,0
0.16509,0,0.65158,-0.97415,-0.73536,-1.1644,-0.0024184,0,0,0.24737,0.5578,0,-0.0062878,0,0,1.0187,0.013426,0,1.0188,-0.73534,-0.97418,-1.1644,-89.42,-0.95798,0.3724,0.00051614,0.34,0,0
0.17023,0,0.63147,-0.94398,-0.76842,-1.1452,-0.0018931,0,0,0.26157,0.4898,0,-0.0049219,0,0,0.99325,0.013083,0,0.99334,-0.7684,-0.944,-1.1452,-89.382,-0.95253,0.32656,-0.00020975,0.36,0,0
0.17555,0,0.61185,-0.92012,-0.78579,-1.1236,-0.0012302,0,0,0.26455,0.43919,0,-0.0031985,0,0,0.96993,0.011159,0,0.96999,-0.78578,-0.92014,-1.1236,-89.475,-0.94318,0.29462,-0.00045381,0.38,0,0
0.18081,0,0.59267,-0.90313,-0.78909,-1.1003,-0.0006712,0,0,0.25637,0.40461,0,-0.0017451,0,0,0.95125,0.0080728,0,0.95129,-0.78909,-0.90313,-1.1003,-89.663,-0.93085,0.27274,-0.00046179,0.4,0,0
0.1858,0,0.5738,-0.8925,-0.78141,-1.076,-0.00014927,0,0,0.23852,0.38293,0,-0.0003881,0,0,0.93884,0.0044726,0,0.93885,-0.78141,-0.8925,-1.076,-89.923,-0.91663,0.25766,-0.00036045,0.42,0,0
0.19035,0,0.55512,-0.88746,-0.76487,-1.0508,0.000451,0,0,0.21236,0.37173,0,0.0011726,0,0,0.93316,0.00098533,0,0.93316,-0.76487,-0.88746,-1.0508,89.789,-0.90105,0.24848,-0.00019209,0.44,0,0
0.1943,0,0.53648,-0.88746,-0.74034,-1.0248,0.0011877,0,0,0.17856,0.36982,0,0.003088,0,0,0.93369,-0.0019531,0,0.93369,-0.74033,-0.88747,-1.0248,89.537,-0.88421,0.24642,4.584e-05,0.46,0,0
0.1975,0,0.51777,-0.89208,-0.70815,-0.99784,0.0019912,0,0,0.13748,0.37659,0,0.0051772,0,0,0.93924,-0.0041232,0,0.93925,-0.70813,-0.89211,-0.99784,89.38,-0.86603,0.25392,0.00037633,0.48,0,0
0.1998,0,0.4989,-0.90075,-0.66906,-0.96985,0.002725,0,0,0.089824,0.39103,0,0.007085,0,0,0.94833,-0.0054797,0,0.94834,-0.66902,-0.90078,-0.96985,89.326,-0.84655,0.27293,0.00082306,0.5,0,0
0.20109,0,0.47983,-0.91251,-0.62466,-0.94098,0.0032512,0,0,0.037021,0.41122,0,0.0084533,0,0,0.95946,-0.0060965,0,0.95948,-0.62462,-0.91254,-0.94098,89.353,-0.82605,0.30314,0.0013884,0.52,0,0
0.20128,0,0.46053,-0.92601,-0.57742,-0.91156,0.003492,0,0,-0.018785,0.43437,0,0.0090792,0,0,0.97134,-0.0061201,0,0.97136,-0.57739,-0.92604,-0.91156,89.426,-0.805,0.34164,0.0020356,0.54,0,0
0.20034,0,0.44098,-0.93976,-0.53018,-0.88196,0.0034544,0,0,-0.075136,0.45732,0,0.0089813,0,0,0.98296,-0.0057271,0,0.98298,-0.53015,-0.93979,-0.88196,89.517,-0.78397,0.384,0.0026873,0.56,0,0
0.19827,0,0.42121,-0.95239,-0.48547,-0.85257,0.003217,0,0,-0.12977,0.47723,0,0.0083643,0,0,0.99366,-0.0050874,0,0.99367,-0.48545,-0.95241,-0.85257,89.605,-0.76347,0.42591,0.0032449,0.58,0,0
0.19515,0,0.40123,-0.96288,-0.44511,-0.82363,0.0028867,0,0,-0.18102,0.49208,0,0.0075056,0,0,1.003,-0.0043373,0,1.003,-0.4451,-0.96289,-0.82363,89.681,-0.74387,0.46411,0.0036188,0.6,0,0
0.19103,0,0.38109,-0.97067,-0.41005,-0.7953,0.0025566,0,0,-0.22798,0.50083,0,0.0066471,0,0,1.011,-0.0035691,0,1.011,-0.41004,-0.97068,-0.7953,89.739,-0.72534,0.49674,0.0037525,0.62,0,0
0.18603,0,0.3608,-0.97562,-0.38048,-0.76763,0.0022813,0,0,-0.2704,0.50329,0,0.0059315,0,0,1.0174,-0.0028329,0,1.0174,-0.38047,-0.97563,-0.76763,89.78,-0.70791,0.52315,0.0036298,0.64,0,0
0.18022,0,0.34039,-0.97789,-0.35608,-0.74058,0.0020764,0,0,-0.3085,0.49986,0,0.0053987,0,0,1.0224,-0.0021468,0,1.0224,-0.35607,-0.9779,-0.74058,89.809,-0.69152,0.54353,0.0032682,0.66,0,0
0.17369,0,0.3199,-0.97779,-0.33627,-0.71412,0.0019285,0,0,-0.34277,0.4912,0,0.005014,0,0,1.0261,-0.0015079,0,1.0261,-0.33626,-0.9778,-0.71412,89.828,-0.67606,0.55851,0.0027056,0.68,0,0
0.16651,0,0.29935,-0.97566,-0.32039,-0.68816,0.0018096,0,0,-0.37375,0.47811,0,0.004705,0,0,1.0285,-0.00090174,0,1.0285,-0.32038,-0.97567,-0.68816,89.842,-0.6614,0.56891,0.0019884,0.7,0,0
