"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,1,-0.9062,-1.4381,-1.7033,3.4694e-18,0,0,1.0362,0.34473,0,8.6736e-18,0,0,0.88542,-9.7969e-16,0,0.88542,-0.9062,-1.4381,-1.7033,3.7371e-16,-1.3492,0.70307,0.0096707,0,0,0
0.020724,0,0.98229,-0.88721,-1.3978,-1.6678,0.00042673,0,0,1.0147,0.35103,0,0.0011095,0,0,0.89038,-0.0051141,0,0.89039,-0.88721,-1.3978,-1.6678,0.047889,-1.3176,0.68661,0.0083785,0.02,0,0
0.04059,0,0.96439,-0.89734,-1.3538,-1.6397,0.0011717,0,0,0.96511,0.37169,0,0.0030465,0,0,0.90475,-0.0097506,0,0.9048,-0.89734,-1.3538,-1.6397,0.14707,-1.297,0.64856,0.0054001,0.04,0,0
0.059329,0,0.9461,-0.9162,-1.2933,-1.6089,0.0023524,0,0,0.90056,0.41038,0,0.0061162,0,0,0.92704,-0.01338,0,0.92714,-0.91619,-1.2933,-1.6089,0.35743,-1.2728,0.60073,0.0017021,0.06,0,0
0.076612,0,0.9273,-0.94432,-1.2125,-1.5744,0.0038307,0,0,0.81905,0.47038,0,0.0099598,0,0,0.95483,-0.015506,0,0.95496,-0.94427,-1.2126,-1.5744,0.81811,-1.2437,0.54767,-0.0021387,0.08,0,0
0.092091,0,0.90791,-0.98031,-1.112,-1.5356,0.0050479,0,0,0.72189,0.55067,0,0.013124,0,0,0.98507,-0.015861,0,0.98519,-0.98011,-1.1122,-1.5356,2.1917,-1.2093,0.50264,-0.0050351,0.1,0,0
0.10549,0,0.8879,-1.0205,-0.99922,-1.4938,0.0054333,0,0,0.6153,0.64298,0,0.014127,0,0,1.0146,-0.014582,0,1.0147,-0.99791,-1.0218,-1.4938,76.483,-1.1712,0.4844,-0.0057896,0.12,0,0
0.1167,0,0.86733,-1.0599,-0.88744,-1.4515,0.004777,0,0,0.50909,0.73332,0,0.01242,0,0,1.0408,-0.012171,0,1.0409,-0.88731,-1.0601,-1.4515,88.415,-1.133,0.50072,-0.003956,0.14,0,0
0.12585,0,0.84627,-1.0935,-0.78969,-1.4112,0.0035574,0,0,0.41301,0.80801,0,0.0092493,0,0,1.0621,-0.0092614,0,1.0621,-0.78965,-1.0936,-1.4112,89.329,-1.0981,0.53836,-0.00030648,0.16,0,0
0.13322,0,0.82484,-1.1177,-0.71366,-1.3742,0.0023733,0,0,0.33351,0.85877,0,0.0061705,0,0,1.0777,-0.0063415,0,1.0777,-0.71364,-1.1177,-1.3742,89.663,-1.0685,0.57684,0.0036999,0.18,0,0
